,MarketAndNewspaper,CSDs,Market,Year
1803,ottawa east news,['Ottawa'],ottawa,2016
1804,ottawa east news,['Ottawa'],ottawa,2017
1823,ottawa south news,['Ottawa'],ottawa,2013
1824,ottawa south news,['Ottawa'],ottawa,2014
1825,ottawa south news,['Ottawa'],ottawa,2015
1826,ottawa south news,['Ottawa'],ottawa,2016
1827,ottawa south news,['Ottawa'],ottawa,2017
1828,ottawa west news,['Ottawa'],ottawa,2013
1829,ottawa west news,['Ottawa'],ottawa,2014
1830,ottawa west news,['Ottawa'],ottawa,2015
1831,ottawa west news,['Ottawa'],ottawa,2016
1832,ottawa west news,['Ottawa'],ottawa,2017
1833,our london,['London'],london,2016
1834,our london,['London'],london,2017
1985,quinte west news,['Quinte West'],quinte%20west,2013
1986,quinte west news,['Quinte West'],quinte%20west,2014
1987,quinte west news,['Quinte West'],quinte%20west,2015
1988,quinte west news,['Quinte West'],quinte%20west,2016
1989,quinte west news,['Quinte West'],quinte%20west,2017
2410,st. marys journal argus,['St. Marys'],st.%20marys,2013
2411,st. marys journal argus,['St. Marys'],st.%20marys,2014
2412,st. marys journal argus,['St. Marys'],st.%20marys,2015
2413,st. marys journal argus,['St. Marys'],st.%20marys,2016
2414,st. marys journal argus,['St. Marys'],st.%20marys,2017
2415,st. marys journal argus weekender,['St. Marys'],st.%20marys,2013
2416,st. marys journal argus weekender,['St. Marys'],st.%20marys,2014
2417,st. marys journal argus weekender,['St. Marys'],st.%20marys,2015
2418,st. marys journal argus weekender,['St. Marys'],st.%20marys,2016
2419,st. marys journal argus weekender,['St. Marys'],st.%20marys,2017
2420,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2013
2421,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2014
2422,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2015
2423,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2016
2424,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2017
2425,stirling central hastings news,['Stirling-Rawdon'],stirling,2014
2426,stirling central hastings news,['Stirling-Rawdon'],stirling,2015
2427,stirling central hastings news,['Stirling-Rawdon'],stirling,2016
2428,stirling central hastings news,['Stirling-Rawdon'],stirling,2017
2430,stittsville news,['Ottawa'],stittsville,2013
2431,stittsville news,['Ottawa'],stittsville,2014
2432,stittsville news,['Ottawa'],stittsville,2015
2433,stittsville news,['Ottawa'],stittsville,2016
2434,stittsville news,['Ottawa'],stittsville,2017
2450,stratford gazette,['Stratford'],stratford,2013
2451,stratford gazette,['Stratford'],stratford,2013
2452,stratford gazette,['Stratford'],stratford,2014
2453,stratford gazette,['Stratford'],stratford,2014
2454,stratford gazette,['Stratford'],stratford,2015
2455,stratford gazette,['Stratford'],stratford,2016
2456,stratford gazette,['Stratford'],stratford,2017
2592,thorold niagara news,['Thorold'],thorold,2013
2593,thorold niagara news,['Thorold'],thorold,2014
2594,thorold niagara news,['Thorold'],thorold,2015
2595,thorold niagara news,['Thorold'],thorold,2016
2596,thorold niagara news,['Thorold'],thorold,2017
3036,west carleton review,['Ottawa'],arnprior&west%20carleton,2013
3037,west carleton review,['Ottawa'],arnprior&west%20carleton,2014
3038,west carleton review,['Ottawa'],arnprior&west%20carleton,2015
3039,west carleton review,['Ottawa'],arnprior&west%20carleton,2016
3040,west carleton review,['Ottawa'],arnprior&west%20carleton,2017
