,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
935,Thursday,2014,belle%20river,lakeshore news,belle river lakeshore news,9391,postmedia network inc.
936,Thursday,2015,belle%20river,lakeshore news,belle river lakeshore news,9383,postmedia network inc.
937,Thursday,2016,belle%20river,lakeshore news,belle river lakeshore news,9402,postmedia network inc.
938,Thursday,2017,belle%20river,lakeshore news,belle river lakeshore news,9409,postmedia network inc.
939,Thursday,2018,belle%20river,lakeshore news,belle river lakeshore news,8594,postmedia network inc.
940,Thursday,2019,belle%20river,lakeshore news,belle river lakeshore news,8594,postmedia network inc.
144,Thursday,2013,belleville,belleville news,belleville news,24279,metroland media group ltd.
145,Thursday,2014,belleville,belleville news,belleville news,22354,metroland media group ltd.
146,Thursday,2015,belleville,belleville news,belleville news,22872,metroland media group ltd.
147,Thursday,2016,belleville,belleville news,belleville news,22628,metroland media group ltd.
148,Thursday,2017,belleville,belleville news,belleville news,22513,metroland media group ltd.
149,Thursday,2013,belleville&quinte,the community press,belleville quinte the community press,46122,sun media corporation
2249,Thursday,2014,belleville&quinte,the community press,belleville quinte the community press,45490,sun media corporation
2250,Thursday,2015,belleville&quinte,the community press,belleville quinte the community press,45939,sun media corporation
2251,Thursday,2016,belleville&quinte,the community press,belleville quinte the community press,46391,sun media corporation
2252,Thursday,2017,belleville&quinte,the community press,belleville quinte the community press,46476,postmedia network inc.
2253,Thursday,2018,belleville&quinte,the community press,belleville quinte the community press,46476,postmedia network inc.
2254,Thursday,2019,belleville&quinte,the community press,belleville quinte the community press,46476,postmedia network inc.
156,Wednesday,2013,blenheim,newstribune,blenheim newstribune,2291,blenheim publishers
1246,Wednesday,2014,blenheim,newstribune,blenheim newstribune,2272,blenheim publishers
1247,Wednesday,2015,blenheim,newstribune,blenheim newstribune,2116,blenheim publishers
1248,Wednesday,2016,blenheim,newstribune,blenheim newstribune,1913,blenheim publishers
1249,Wednesday,2017,blenheim,newstribune,blenheim newstribune,1913,blenheim publishers
1250,Wednesday,2018,blenheim,newstribune,blenheim newstribune,1913,blenheim publishers
1251,Wednesday,2019,blenheim,newstribune,blenheim newstribune,1687,blenheim publishers
164,Wednesday,2013,blue%20mountains,blue mountains courierherald,blue mountains courierherald,547,metroland media group ltd.
165,Thursday,2013,blyth&brussels,citizen,blyth brussels citizen,1820,north huron publishing co. inc.
342,Thursday,2014,blyth&brussels,citizen,blyth brussels citizen,1798,north huron publishing co. inc.
344,Thursday,2015,blyth&brussels,citizen,blyth brussels citizen,1762,north huron publishing co. inc.
345,Thursday,2016,blyth&brussels,citizen,blyth brussels citizen,1756,north huron publishing co. inc.
346,Thursday,2017,blyth&brussels,citizen,blyth brussels citizen,1775,north huron publishing co. inc.
347,Thursday,2018,blyth&brussels,citizen,blyth brussels citizen,1792,north huron publishing co. inc.
348,Thursday,2019,blyth&brussels,citizen,blyth brussels citizen,1907,north huron publishing co. inc.
2313,Thursday,2018,bobcaygeon,the kawartha promoter,bobcaygeon the kawartha promoter,40000,the kawartha promoter
2314,Thursday,2019,bobcaygeon,the kawartha promoter,bobcaygeon the kawartha promoter,40000,the kawartha promoter
166,Wednesday,2013,bracebridge,bracebridge examiner,bracebridge examiner,2780,metroland media group ltd.
167,Wednesday,2014,bracebridge,bracebridge examiner,bracebridge examiner,9435,metroland media group ltd.
168,Thursday,2015,bracebridge,bracebridge examiner,bracebridge examiner,8609,metroland media group ltd.
169,Thursday,2016,bracebridge,bracebridge examiner,bracebridge examiner,8584,metroland media group ltd.
170,Thursday,2017,bracebridge,bracebridge examiner,bracebridge examiner,8677,metroland media group ltd.
171,Thursday,2018,bracebridge,bracebridge examiner,bracebridge examiner,8323,metroland media group ltd.
172,Thursday,2019,bracebridge,bracebridge examiner,bracebridge examiner,7997,metroland media group ltd.
1133,Thursday,2013,bracebridge,muskoka sun,bracebridge muskoka sun,15000,metroland media group ltd.
1134,Thursday,2014,bracebridge,muskoka sun,bracebridge muskoka sun,15000,metroland media group ltd.
174,Thursday,2013,bradford,bradford west gwillimbury times,bradford west gwillimbury times,13042,sun media corporation
175,Thursday,2014,bradford,bradford west gwillimbury times,bradford west gwillimbury times,9507,sun media corporation
176,Thursday,2015,bradford,bradford west gwillimbury times,bradford west gwillimbury times,10224,sun media corporation
177,Thursday,2016,bradford,bradford west gwillimbury times,bradford west gwillimbury times,10224,sun media corporation
178,Thursday,2017,bradford,bradford west gwillimbury times,bradford west gwillimbury times,10224,postmedia network inc.
179,Thursday,2013,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,17967,metroland media group ltd.
180,Thursday,2014,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10083,metroland media group ltd.
181,Thursday,2015,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10151,metroland media group ltd.
173,Thursday,2016,bradford,bradford west gwillimbury topic,bradford west gwillimbury topic,10538,metroland media group ltd.
184,Thursday,2017,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10538,metroland media group ltd.
182,Thursday,2018,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10538,metroland media group ltd.
183,Thursday,2019,bradford%20west%20gwillimbury,bradford west gwillimbury topic,bradford west gwillimbury topic,10436,metroland media group ltd.
187,Friday,2013,brampton,brampton guardian,brampton guardian,111956,metroland media group ltd.
186,Thursday,2013,brampton,brampton guardian,brampton guardian,121850,metroland media group ltd.
185,Wednesday,2013,brampton,brampton guardian,brampton guardian,113172,metroland media group ltd.
190,Friday,2014,brampton,brampton guardian,brampton guardian,111746,metroland media group ltd.
188,Thursday,2014,brampton,brampton guardian,brampton guardian,126420,metroland media group ltd.
189,Wednesday,2014,brampton,brampton guardian,brampton guardian,114175,metroland media group ltd.
192,Friday,2015,brampton,brampton guardian,brampton guardian,116456,metroland media group ltd.
193,Thursday,2015,brampton,brampton guardian,brampton guardian,129850,metroland media group ltd.
191,Wednesday,2015,brampton,brampton guardian,brampton guardian,116288,metroland media group ltd.
196,Friday,2016,brampton,brampton guardian,brampton guardian,116447,metroland media group ltd.
195,Thursday,2016,brampton,brampton guardian,brampton guardian,129958,metroland media group ltd.
194,Wednesday,2016,brampton,brampton guardian,brampton guardian,109469,metroland media group ltd.
198,Friday,2017,brampton,brampton guardian,brampton guardian,116447,metroland media group ltd.
199,Thursday,2017,brampton,brampton guardian,brampton guardian,129958,metroland media group ltd.
197,Wednesday,2017,brampton,brampton guardian,brampton guardian,109469,metroland media group ltd.
202,Friday,2018,brampton,brampton guardian,brampton guardian,116447,metroland media group ltd.
200,Thursday,2018,brampton,brampton guardian,brampton guardian,129958,metroland media group ltd.
201,Wednesday,2018,brampton,brampton guardian,brampton guardian,109469,metroland media group ltd.
203,Thursday,2019,brampton,brampton guardian,brampton guardian,137219,metroland media group ltd.
204,Thursday,2013,brantford,brant news,brantford brant news,48220,metroland media group ltd.
205,Thursday,2014,brantford,brant news,brantford brant news,48551,metroland media group ltd.
206,Thursday,2015,brantford,brant news,brantford brant news,48911,metroland media group ltd.
207,Thursday,2016,brantford,brant news,brantford brant news,49012,metroland media group ltd.
208,Thursday,2017,brantford,brant news,brantford brant news,49012,metroland media group ltd.
209,Thursday,2015,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465,sun media corporation
210,Thursday,2016,brantford,"brantford expositor, your tmc newspaper","brantford expositor, your tmc newspaper",47465,sun media corporation
