,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,ID,ID2
515,etobicoke guardian,70703.0,6.64,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,105,80
516,etobicoke guardian,69212.0,6.84,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,105,80
517,etobicoke guardian,67721.0,6.84,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,105,80
518,exeter times advocate,2888.0,0.96,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Wednesday,106,81
519,exeter times advocate,2713.0,1.05,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Wednesday,106,81
520,exeter times advocate,2538.0,1.05,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Wednesday,106,81
521,exeter times advocate,2621.25,1.05,,1160.0,10.0,161.0,10.0,2016,2014,2,Wednesday,106,81
522,exeter times advocate,2704.5,1.05,,1160.0,10.0,161.0,10.0,2017,2015,2,Wednesday,106,81
523,exeter times advocate,2787.75,1.05,,118.0,10.0,161.0,10.0,2018,2016,2,Wednesday,106,81
524,exeter times advocate,2871.0,1.05,,118.0,10.0,161.0,10.0,2019,2018,1,Wednesday,106,81
525,exeter times advocate weekender,,1.06,335.0,1160.0,10.0,175.0,10.0,2013,0,2013,Friday,107,82
526,exeter times advocate weekender,,1.16,1160.0,1160.0,10.0,161.0,10,2014,0,2014,Thursday,108,82
527,exeter times advocate weekender,,1.16,1160.0,1160.0,10.0,161.0,10.0,2015,0,2015,Thursday,108,82
528,exeter times advocate weekender,,1.16,,1160.0,10.0,161.0,10.0,2016,0,2016,Thursday,108,82
529,exeter times advocate weekender,,1.16,,1160.0,10.0,161.0,10.0,2017,0,2017,Thursday,108,82
530,exeter times advocate weekender,,1.05,,118.0,10.0,161.0,10.0,2018,0,2018,Thursday,108,82
531,exeter times advocate weekender,,1.05,,118.0,10.0,161.0,10.0,2019,0,2019,Thursday,108,82
532,fergus elora news express,8070.0,1.11,116.0,294.0,10.0,175.0,10.0,2013,2012,1,Wednesday,109,83
533,fergus elora news express,8172.0,1.21,294.0,294.0,10.0,161.0,10,2014,2013,1,Wednesday,109,83
534,fergus elora news express,8072.5,1.21,294.0,294.0,10.0,161.0,10.0,2015,2013,2,Wednesday,109,83
535,fergus elora news express,7973.0,1.21,,294.0,10.0,161.0,10.0,2016,2015,1,Wednesday,109,83
536,fergus elora news express,,1.21,,294.0,10.0,161.0,10.0,2017,2015,2,Wednesday,109,83
537,fergus wellington advertiser,40314.0,1.61,282.0,282.0,6.0,220.0,5.0,2013,2012,1,Friday,110,84
538,fergus wellington advertiser,40068.0,1.61,282.0,282.0,6.0,220.0,5,2014,2013,1,Friday,110,84
539,fergus wellington advertiser,40470.0,1.64,282.0,282.0,6.0,220.0,5.0,2015,2014,1,Friday,110,84
540,fergus wellington advertiser,40208.0,1.64,,282.0,6.0,220.0,5.0,2016,2015,1,Friday,110,84
541,fergus wellington advertiser,39929.0,1.71,,282.0,6.0,220.0,5.0,2017,2016,1,Friday,110,84
542,fergus wellington advertiser,39925.0,1.76,,282.0,6.0,220.0,5.0,2018,2017,1,Friday,110,84
543,fergus wellington advertiser,40151.0,1.76,,282.0,6.0,220.0,5.0,2019,2018,1,Thursday,111,84
544,flesherton advance,1335.0,0.82,353.0,353.0,6.0,301.0,1.0,2013,2012,1,Wednesday,112,85
545,flesherton advance,1313.5,0.82,353.0,353.0,6.0,301.0,2,2014,2012,2,Wednesday,112,85
546,flesherton advance,1292.0,0.82,353.0,353.0,6.0,301.0,2.0,2015,2014,1,Wednesday,112,85
547,flesherton advance,,0.82,,353.0,6.0,301.0,2.0,2016,2014,2,Wednesday,112,85
548,flesherton advance,,0.82,,353.0,6.0,301.0,2.0,2017,2015,2,Wednesday,112,85
549,flesherton advance,,0.82,,353.0,6.0,301.0,2.0,2018,2016,2,Wednesday,112,85
550,flesherton advance,,0.82,,353.0,6.0,301.0,2.0,2019,2016,3,Wednesday,112,85
551,forest standard,2110.0,0.89,76.0,271.0,6.0,210.0,5.0,2013,2012,1,Thursday,113,86
552,forest standard,,0.89,76.0,271.0,6.0,210.0,5,2014,2012,2,Thursday,113,86
553,forest standard,,0.91,100.0,271.0,6.0,210.0,5.0,2015,2013,2,Thursday,113,86
554,forest watford standard guide advocate,2069.0,1.2,,282.0,6.0,210.0,5.0,2016,2015,1,Thursday,114,87
555,forest watford standard guide advocate,1919.0,1.2,,282.0,6.0,210.0,5.0,2017,2016,1,Thursday,114,87
556,forest watford standard guide advocate,1692.5,1.2,,282.0,6.0,210.0,5.0,2018,2016,2,Thursday,114,87
557,forest watford standard guide advocate,1466.0,1.2,,282.0,6.0,210.0,5.0,2019,2018,1,Thursday,114,87
558,fort erie times,11985.0,0.74,88.0,206.0,9.0,160.0,3.0,2013,2012,1,Saturday,115,88
559,fort erie times,12192.0,0.74,88.0,206.0,9.0,160.0,3,2014,2013,1,Thursday,116,88
560,fort erie times,12321.0,0.74,88.0,206.0,9.0,160.0,3.0,2015,2014,1,Thursday,116,88
561,fort erie times,12482.0,0.74,,206.0,9.0,160.0,3.0,2016,2015,1,Thursday,116,88
562,fort erie times,,0.74,,206.0,9.0,160.0,3.0,2017,2015,2,Thursday,116,88
563,fort frances times,4455.0,1.35,135.0,382.0,6.0,301.0,1.0,2013,2012,1,Wednesday,117,89
564,fort frances times,4023.0,1.35,135.0,382.0,6.0,301.0,1,2014,2013,1,Wednesday,117,89
565,fort frances times,3708.5,1.39,135.0,388.0,6.0,301.0,1.0,2015,2013,2,Wednesday,117,89
566,fort frances times,3394.0,1.42,,388.0,6.0,301.0,1.0,2016,2015,1,Wednesday,117,89
567,fort frances times,3816.0,1.45,,395.0,6.0,301.0,1.0,2017,2016,1,Wednesday,117,89
568,fort frances times,3420.0,1.52,,395.0,6.0,301.0,1.0,2018,2017,1,Wednesday,117,89
569,fort frances times,3059.0,1.55,,400.0,6.0,301.0,1.0,2019,2018,1,Wednesday,117,89
570,frontenac gazette,,0.57,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,118,90
571,frontenac gazette,,0.67,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,118,90
572,frontenac gazette,,0.67,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,118,90
573,frontenac gazette,,0.67,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,118,90
574,frontenac news,8641.0,0.82,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,119,91
575,frontenac news,9198.0,0.88,106.0,235.0,6.0,205.0,5.0,2013,2012,1,Thursday,119,91
576,frontenac news,9166.0,1.0,106.0,235.0,6.0,205.0,5,2014,2013,1,Thursday,119,91
577,frontenac news,9210.0,1.0,106.0,235.0,6.0,205.0,5.0,2015,2014,1,Thursday,119,91
578,frontenac news,9159.0,1.02,,259.0,6.0,205.0,5.0,2016,2015,1,Thursday,119,91
579,frontenac news,9135.0,1.02,,259.0,6.0,205.0,5.0,2017,2016,1,Thursday,119,91
580,frontenac news,,1.06,,259.0,6.0,205.0,5.0,2018,2016,2,Thursday,119,91
581,frontenac news,,1.12,,259.0,6.0,205.0,5.0,2019,2016,3,Thursday,119,91
582,gananoque reporter,,1.08,176.0,429.0,9.0,160.0,3.0,2013,0,2013,Thursday,120,92
583,gananoque reporter,,1.11,176.0,429.0,9.0,160.0,3,2014,0,2014,Thursday,120,92
584,gananoque reporter,,1.11,176.0,429.0,9.0,160.0,3.0,2015,0,2015,Thursday,120,92
585,gananoque reporter,,1.11,,429.0,9.0,160.0,3.0,2016,2014,2,Thursday,120,92
586,gananoque reporter,,1.11,,429.0,9.0,160.0,3.0,2017,2014,3,Thursday,120,92
587,gananoque reporter,,1.11,,429.0,10.0,160.0,10.0,2018,2016,2,Thursday,120,92
588,gananoque reporter,,1.11,,429.0,10.0,160.0,10.0,2019,2016,3,Thursday,120,92
589,georgetown acton independent free press,,2.57,335.0,1160.0,10.0,175.0,10.0,2013,2011,2,Thursday,121,93
590,georgetown acton independent free press,,2.8,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,121,93
591,georgetown acton independent free press,,2.8,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,121,93
592,georgetown acton independent free press,22541.0,2.8,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,121,93
593,georgetown acton independent free press,22585.0,2.8,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,121,93
594,georgetown acton independent free press,23084.0,2.8,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,121,93
595,georgetown acton independent free press,23583.0,2.8,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,121,93
596,georgetown acton independent free press,,2.57,335.0,1160.0,10.0,175.0,10.0,2013,2011,2,Tuesday,122,93
597,georgina advocate,17008.0,1.92,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,123,94
598,georgina advocate,17139.0,2.1,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,123,94
599,georgina advocate,17530.0,2.1,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,123,94
600,georgina advocate,17539.0,2.1,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,123,94
601,georgina advocate,17318.333333333332,2.1,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,123,94
602,georgina advocate,17097.666666666668,2.1,,1160.0,10.0,161.0,10.0,2018,2015,3,Thursday,123,94
603,georgina advocate,16877.0,2.1,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,123,94
604,geraldton times star,,0.72,259.0,0.0,5.0,220.0,4.0,2013,2011,2,Wednesday,124,95
605,geraldton times star,,0.73,265.0,0.0,5.0,220.0,4,2014,2012,2,Wednesday,124,95
606,geraldton times star,1075.0,0.75,271.0,,5.0,220.0,4.0,2015,2014,1,Wednesday,124,95
607,geraldton times star,770.0,0.81,,,5.0,220.0,4.0,2016,2015,1,Wednesday,124,95
608,geraldton times star,,0.86,,,5.0,220.0,4.0,2017,2015,2,Wednesday,124,95
609,geraldton times star,,0.98,,,5.0,220.0,4.0,2018,2016,2,Wednesday,124,95
610,geraldton times star,,0.99,,,5.0,220.0,4.0,2019,2017,2,Wednesday,124,95
611,glanbrook gazette,7663.0,0.78,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,125,96
612,glanbrook gazette,,0.85,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,125,96
613,glanbrook gazette,,0.85,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,125,96
614,glanbrook gazette,,0.85,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,125,96
615,glanbrook gazette,,0.85,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,125,96
616,glanbrook gazette,,0.85,,1160.0,10.0,161.0,10.0,2018,2015,3,Thursday,125,96
617,glanbrook gazette,,0.85,,1160.0,10.0,161.0,10.0,2019,2015,4,Thursday,125,96
618,glencoe transcript free press,1258.0,0.89,76.0,271.0,6.0,210.0,5.0,2013,2012,1,Thursday,126,97
619,glencoe transcript free press,,0.89,76.0,271.0,6.0,210.0,5,2014,2012,2,Thursday,126,97
620,glencoe transcript free press,,0.91,100.0,271.0,6.0,210.0,5.0,2015,2013,2,Thursday,126,97
621,goderich signal star,4403.0,0.78,88.0,235.0,9.0,160.0,3.0,2013,2012,1,Wednesday,127,98
622,goderich signal star,4087.5,0.78,88.0,235.0,9.0,160.0,3,2014,2012,2,Wednesday,127,98
623,goderich signal star,3772.0,0.77,88.0,235.0,9.0,160.0,3.0,2015,2014,1,Wednesday,127,98
624,goderich signal star,3607.0,0.77,,235.0,9.0,160.0,3.0,2016,2015,1,Wednesday,127,98
625,goderich signal star,3366.5,0.77,,235.0,9.0,160.0,3.0,2017,2015,2,Wednesday,127,98
626,goderich signal star,3126.0,0.77,,235.0,9.0,160.0,3.0,2018,2017,1,Wednesday,127,98
627,goderich signal star,2744.0,0.69,,235.0,10.0,160.0,10.0,2019,2018,1,Wednesday,127,98
628,grand bend lakeshore advance,1152.0,0.66,88.0,353.0,9.0,160.0,3.0,2013,2012,1,Wednesday,128,99
629,grand bend lakeshore advance,1072.0,0.72,88.0,353.0,9.0,160.0,3,2014,2012,2,Wednesday,128,99
630,grand bend lakeshore advance,992.0,0.73,88.0,353.0,9.0,160.0,3.0,2015,2014,1,Wednesday,128,99
631,grand bend lakeshore advance,908.0,0.73,,353.0,9.0,160.0,3.0,2016,2015,1,Wednesday,128,99
632,grand bend lakeshore advance,,0.73,,353.0,9.0,160.0,3.0,2017,2015,2,Wednesday,128,99
633,grand bend lakeshore advance,,0.73,,353.0,9.0,160.0,3.0,2018,2015,3,Wednesday,128,99
634,gravenhurst banner,,1.87,1160.0,1160.0,10.0,161.0,10,2014,0,2014,Thursday,129,100
635,gravenhurst banner,5516.0,1.87,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,129,100
636,gravenhurst banner,5392.0,1.87,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,129,100
637,gravenhurst banner,,1.87,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,129,100
638,gravenhurst banner,,1.87,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,129,100
639,gravenhurst banner,,1.87,,1160.0,10.0,161.0,10.0,2019,2016,3,Thursday,129,100
640,gravenhurst banner,1546.0,1.14,335.0,1160.0,10.0,301.0,10.0,2013,2012,1,Wednesday,130,100
641,grey bruce this week,,1.47,59.0,59.0,9.0,160.0,3.0,2015,0,2015,Thursday,131,101
642,grey bruce this week,,1.47,,59.0,9.0,160.0,3.0,2016,0,2016,Thursday,131,101
643,grey bruce this week,,1.47,,59.0,9.0,160.0,3.0,2017,2015,2,Thursday,131,101
644,grey bruce this week,,1.47,,59.0,9.0,160.0,3.0,2018,2015,3,Thursday,131,101
645,grey bruce this week,,1.33,,59.0,10.0,160.0,10.0,2019,2015,4,Thursday,131,101
646,grimsby lincoln news,23974.0,2.36,,1160.0,10.0,147.0,10.0,2016,2015,1,Tuesday,132,102
647,grimsby lincoln news,,2.36,,1160.0,10.0,147.0,10.0,2017,2015,2,Tuesday,132,102
648,grimsby lincoln news,,2.36,,1160.0,10.0,147.0,10.0,2018,2016,2,Tuesday,132,102
649,grimsby lincoln news,23850.0,2.36,1160.0,1160.0,10.0,147.0,10,2014,2013,1,Wednesday,133,102
650,grimsby lincoln news,,2.36,1160.0,1160.0,10.0,147.0,10.0,2015,2013,2,Wednesday,133,102
651,grimsby lincoln west lincoln news now,,1.01,147.0,324.0,6.0,210.0,5,2014,0,2014,Thursday,134,103
652,grimsby lincoln west lincoln news now,,1.33,147.0,324.0,6.0,160.0,5.0,2015,0,2015,Thursday,134,103
653,grimsby lincoln west lincoln news now,,1.33,,324.0,6.0,160.0,5.0,2016,0,2016,Thursday,134,103
654,grimsby lincoln west lincoln news now,,1.33,,324.0,6.0,160.0,5.0,2017,0,2017,Thursday,134,103
655,grimsby lincoln west lincoln news now,,1.33,,324.0,6.0,160.0,5.0,2018,0,2018,Thursday,134,103
656,grimsby lincoln west lincoln news now,,1.33,,324.0,6.0,160.0,5.0,2019,0,2019,Thursday,134,103
657,guelph mercury tribune,,2.22,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,135,104
658,guelph mercury tribune,44326.0,2.22,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,135,104
659,guelph mercury tribune,43993.0,2.22,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,135,104
660,guelph mercury tribune,43754.0,2.22,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,135,104
661,guelph mercury tribune,43515.0,2.22,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,135,104
662,guelph mercury tribune,43257.0,2.22,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,135,104
663,guelph mercury tribune,39098.0,1.84,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Tuesday,136,104
664,guelph mercury tribune,39124.0,2.01,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Tuesday,136,104
665,guelph mercury tribune,39150.0,2.01,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Tuesday,136,104
666,guelph mercury tribune,39091.0,2.01,,1160.0,10.0,161.0,10.0,2016,2015,1,Tuesday,136,104
667,guelph mercury tribune,38921.0,2.01,,1160.0,10.0,161.0,10.0,2017,2015,2,Tuesday,136,104
668,guelph mercury tribune,38751.0,2.01,,1160.0,10.0,161.0,10.0,2018,2017,1,Tuesday,136,104
669,guelph mercury tribune,38508.0,2.01,,1160.0,10.0,161.0,10.0,2019,2018,1,Tuesday,136,104
670,hagersville cayuga haldimand press,3134.0,0.84,,294.0,6.0,294.0,2.0,2016,2015,1,Thursday,137,105
671,hagersville cayuga haldimand press,3073.0,0.84,,294.0,6.0,294.0,2.0,2017,2016,1,Thursday,137,105
672,hagersville cayuga haldimand press,3610.0,0.77,118.0,294.0,6.0,294.0,2.0,2013,2012,1,Wednesday,138,105
673,hagersville cayuga haldimand press,3375.0,0.77,118.0,294.0,6.0,294.0,2,2014,2013,1,Wednesday,138,105
674,hagersville cayuga haldimand press,3152.0,0.72,118.0,294.0,6.0,294.0,2.0,2015,2014,1,Wednesday,138,105
675,haldimand county haldimand press,3395.0,0.84,,294.0,6.0,294.0,2.0,2018,2017,1,Thursday,139,106
676,haldimand county haldimand press,,0.84,,294.0,6.0,294.0,2.0,2019,2017,2,Thursday,139,106
677,haldimand county the sachem,20724.0,1.46,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,140,107
678,haldimand county the sachem,,1.6,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,140,107
679,haldimand county the sachem,,1.6,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,140,107
680,haldimand county the sachem,,1.6,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,140,107
681,haldimand county the sachem,,1.6,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,140,107
682,haldimand county the sachem,,1.6,,1160.0,10.0,161.0,10.0,2018,2015,3,Thursday,140,107
683,haldimand county the sachem,,1.6,,1160.0,10.0,161.0,10.0,2019,2015,4,Thursday,140,107
684,haliburton county echo,2777.0,0.65,141.0,353.0,9.0,158.0,3.0,2013,2012,1,Tuesday,141,108
685,haliburton county echo,2520.0,0.65,141.0,353.0,9.0,158.0,3,2014,2013,1,Tuesday,141,108
686,haliburton county echo,2164.0,0.55,141.0,353.0,9.0,189.0,3.0,2015,2014,1,Tuesday,141,108
687,haliburton county echo,1991.0,0.55,,176.0,9.0,189.0,3.0,2016,2015,1,Tuesday,141,108
688,haliburton county echo,2095.0,0.55,,176.0,9.0,189.0,3.0,2017,2016,1,Tuesday,141,108
689,haliburton county echo,2013.0,0.55,,176.0,9.0,189.0,3.0,2018,2017,1,Tuesday,141,108
690,haliburton county echo,1953.0,0.55,,176.0,9.0,189.0,3.0,2019,2018,1,Tuesday,141,108
691,haliburton county life,,0.41,,176.0,9.0,189.0,3.0,2018,2015,3,Thursday,142,109
692,haliburton county life,,0.41,,176.0,9.0,189.0,3.0,2019,2015,4,Thursday,142,109
693,haliburton highlander,7312.0,0.95,88.0,88.0,6.0,213.0,5.0,2013,2012,1,Thursday,143,110
694,haliburton highlander,,1.61,104.0,104.0,4.0,189.0,8,2014,2012,2,Thursday,143,110
695,haliburton highlander,,1.61,104.0,104.0,4.0,189.0,8.0,2015,2013,2,Thursday,143,110
696,haliburton highlander,,1.61,,104.0,4.0,189.0,8.0,2016,2014,2,Thursday,143,110
697,haliburton highlander,,1.61,,104.0,4.0,189.0,8.0,2017,2015,2,Thursday,143,110
698,haliburton highlander,,1.61,,104.0,4.0,189.0,8.0,2018,2016,2,Thursday,143,110
699,haliburton highlander,,1.61,,104.0,4.0,189.0,8.0,2019,2017,2,Thursday,143,110
700,hamilton burlington bay observer,28246.0,2.46,118.0,294.0,6.0,216.0,5.0,2013,2012,1,Monthly,144,111
701,hamilton burlington bay observer,,2.46,118.0,294.0,6.0,216.0,5,2014,2012,2,Monthly,144,111
702,hamilton burlington bay observer,,2.46,,,6.0,216.0,5.0,2015,2012,3,Monthly,144,111
703,hamilton burlington bay observer,,2.46,,,6.0,216.0,5.0,2016,2012,4,Monthly,144,111
704,hamilton burlington bay observer,,2.46,,,6.0,216.0,5.0,2017,2012,5,Monthly,144,111
705,hamilton burlington bay observer,,2.46,,,6.0,216.0,5.0,2018,2012,6,Monthly,144,111
706,hamilton burlington bay observer,,2.46,,,6.0,216.0,5.0,2019,2012,7,Monthly,144,111
707,hamilton mountain news,50291.0,2.8,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,145,112
708,hamilton mountain news,50424.0,3.06,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,145,112
709,hamilton mountain news,50557.0,3.06,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,145,112
710,hamilton mountain news,50057.0,3.06,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,145,112
711,hamilton mountain news,50020.5,3.06,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,145,112
712,hamilton mountain news,49984.0,3.06,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,145,112
713,hamilton mountain news,49497.0,3.06,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,145,112
714,hanover the post,15268.0,0.93,188.0,424.0,9.0,160.0,3.0,2013,2012,1,Thursday,146,113
715,hanover the post,15405.0,0.93,188.0,424.0,9.0,160.0,3,2014,2012,2,Thursday,146,113
716,hanover the post,15542.0,0.93,188.0,424.0,9.0,160.0,3.0,2015,2014,1,Thursday,146,113
717,hanover the post,,0.93,,424.0,9.0,160.0,3.0,2016,2014,2,Thursday,146,113
718,hanover the post,,0.93,,424.0,9.0,160.0,3.0,2017,2015,2,Thursday,146,113
719,hanover the post,,0.93,,424.0,9.0,160.0,3.0,2018,2016,2,Thursday,146,113
720,hanover the post,,0.84,,424.0,10.0,160.0,10.0,2019,2016,3,Thursday,146,113
721,harrow news,1319.0,0.48,118.0,235.0,6.0,208.0,5.0,2013,2012,1,Tuesday,147,114
722,harrow news,1268.0,0.49,118.0,235.0,6.0,208.0,5,2014,2013,1,Tuesday,147,114
723,harrow news,1288.0,0.51,118.0,235.0,6.0,208.0,5.0,2015,2014,1,Tuesday,147,114
724,harrow news,1251.0,0.52,,235.0,6.0,208.0,5.0,2016,2015,1,Tuesday,147,114
725,harrow news,1224.0,0.52,,235.0,6.0,208.0,5.0,2017,2016,1,Tuesday,147,114
726,harrow news,1241.0,0.53,,235.0,6.0,208.0,5.0,2018,2017,1,Tuesday,147,114
727,harrow news,1221.0,0.53,,235.0,6.0,208.0,5.0,2019,2018,1,Tuesday,147,114
728,hawkesbury le carillon,,1.13,,353.0,8.0,175.0,,2017,0,2017,Friday,148,115
729,hawkesbury le carillon,,1.15,,353.0,8.0,175.0,,2018,0,2018,Thursday,149,115
730,hawkesbury le carillon,,1.18,,353.0,8.0,200.0,,2019,0,2019,Thursday,149,115
731,hornepayne jackfish journal,293.0,0.67,100.0,329.0,5.0,196.0,4.0,2013,2012,1,Wednesday,150,116
732,hornepayne jackfish journal,279.0,0.67,100.0,329.0,5.0,196.0,4,2014,2012,2,Wednesday,150,116
733,hornepayne jackfish journal,265.0,0.67,100.0,329.0,5.0,196.0,4.0,2015,2014,1,Wednesday,150,116
734,hornepayne jackfish journal,,0.67,,329.0,5.0,196.0,4.0,2016,2014,2,Wednesday,150,116
735,hornepayne jackfish journal,,0.67,,329.0,5.0,196.0,4.0,2017,2015,2,Wednesday,150,116
736,hornepayne wicksteed weekly,,0.72,,118.0,5.0,185.0,4.0,2019,0,2019,Wednesday,151,117
737,huntsville forester,,2.29,1160.0,1160.0,10.0,161.0,10,2014,0,2014,Thursday,152,118
738,huntsville forester,10310.0,2.29,1160.0,1160.0,10.0,161.0,10,2015,2014,1,Thursday,152,118
739,huntsville forester,9569.0,2.29,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,152,118
740,huntsville forester,9487.0,2.29,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,152,118
741,huntsville forester,9405.0,2.29,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,152,118
742,huntsville forester,,2.29,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,152,118
743,huntsville forester,4656.0,1.05,335.0,1160.0,10.0,301.0,10.0,2013,2012,1,Wednesday,153,118
744,ignace driftwood,365.0,0.38,41.0,124.0,6.0,220.0,5.0,2013,2012,1,Wednesday,154,119
745,ignace driftwood,,0.38,41.0,124.0,6.0,220.0,5,2014,2012,2,Wednesday,154,119
746,ignace driftwood,,0.38,41.0,124.0,6.0,220.0,5.0,2015,2013,2,Wednesday,154,119
747,ignace driftwood,,0.38,,124.0,6.0,220.0,5.0,2016,2014,2,Wednesday,154,119
748,ignace driftwood,,0.38,,124.0,6.0,220.0,5.0,2017,2015,2,Wednesday,154,119
749,ingersoll times,1032.0,0.92,176.0,529.0,9.0,160.0,3.0,2013,2012,1,Wednesday,155,120
750,ingersoll times,865.3333333333334,0.92,176.0,529.0,9.0,160.0,3,2014,2012,2,Wednesday,155,120
751,ingersoll times,698.6666666666667,0.94,182.0,546.0,9.0,160.0,3.0,2015,2013,2,Wednesday,155,120
752,ingersoll times,532.0,0.94,,546.0,9.0,160.0,3.0,2016,2015,1,Wednesday,155,120
753,ingersoll times,,0.94,,546.0,9.0,160.0,3.0,2017,2015,2,Wednesday,155,120
754,ingersoll times,,0.94,,546.0,10.0,160.0,10.0,2018,2015,3,Wednesday,155,120
755,innisfil journal,10726.0,1.37,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,156,121
756,innisfil journal,10785.0,1.5,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,156,121
757,innisfil journal,10998.0,1.5,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,156,121
758,innisfil journal,11376.0,1.5,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,156,121
759,innisfil journal,11661.0,1.5,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,156,121
760,innisfil journal,11848.0,1.5,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,156,121
761,innisfil journal,11849.0,1.5,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,156,121
762,innisfil scope,12645.0,1.4,158.0,473.0,6.0,210.0,5.0,2013,2012,1,Wednesday,157,122
763,innisfil scope,12533.0,1.4,88.0,176.0,6.0,210.0,5,2014,2013,1,Wednesday,157,122
764,iroquois falls enterprise,2232.0,0.51,212.0,529.0,10.0,292.0,3.0,2013,2012,1,Thursday,158,123
765,iroquois falls enterprise,2172.0,0.52,212.0,529.0,10.0,292.0,3,2014,2013,1,Thursday,158,123
766,iroquois falls enterprise,2138.0,0.53,212.0,529.0,10.0,292.0,3.0,2015,2014,1,Thursday,158,123
767,iroquois falls enterprise,1951.0,0.54,,529.0,10.0,292.0,3.0,2016,2015,1,Thursday,158,123
768,iroquois falls enterprise,1837.5,0.55,,529.0,10.0,292.0,3.0,2017,2015,2,Thursday,158,123
769,iroquois falls enterprise,1724.0,0.56,,471.0,10.0,292.0,3.0,2018,2017,1,Thursday,158,123
770,iroquois falls enterprise,1598.0,0.58,,471.0,10.0,292.0,3.0,2019,2018,1,Thursday,158,123
771,kanata kourier standard,26227.0,1.62,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,159,124
772,kanata kourier standard,27434.5,1.13,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,159,124
