,AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year
312,chatham this week,Wednesday,19692,0.99,94.0,376.0,9.0,160.0,3,2014
313,chatham this week,Wednesday,19670,0.99,94.0,376.0,9.0,160.0,3.0,2015
314,chatham this week,Wednesday,19785,0.99,,376.0,9.0,160.0,3.0,2016
315,chatham this week,Wednesday,19760,0.99,,376.0,9.0,160.0,3.0,2017
316,chatham voice,Thursday,21774,0.97,,,9.0,192.0,3,2014
317,chatham voice,Thursday,19041,0.97,,,9.0,192.0,3.0,2015
318,chatham voice,Thursday,19401,0.97,,,9.0,192.0,3.0,2016
319,chatham voice,Thursday,19290,0.97,,,9.0,192.0,3.0,2017
320,chatham voice,Thursday,19300,0.97,,,9.0,192.0,3.0,2018
321,chatham voice,Thursday,19300,0.97,,0.0,9.0,192.0,3.0,2019
322,chesterville record,Wednesday,1593,0.8,176.0,529.0,6.0,220.0,5.0,2013
323,chesterville record,Wednesday,2256,0.75,176.0,294.0,6.0,220.0,5,2014
324,chesterville record,Wednesday,1797,0.82,176.0,294.0,6.0,220.0,5.0,2015
325,chesterville record,Wednesday,1700,0.82,,294.0,6.0,217.0,5.0,2016
326,chesterville record,Wednesday,1582,0.82,,294.0,6.0,217.0,5.0,2017
327,chesterville record,Wednesday,1369,0.82,,294.0,6.0,217.0,5.0,2018
328,chesterville record,Wednesday,1217,0.82,,294.0,6.0,217.0,5.0,2019
329,clarington this week,Wednesday/Thursday,25731,2.96,335.0,1160.0,10.0,175.0,10.0,2013
330,clarington this week,Wednesday/Thursday,25731,2.96,335.0,1160.0,10.0,175.0,10.0,2013
331,clarington this week,Wednesday/Thursday,25845,3.23,1160.0,1160.0,10.0,161.0,10,2014
332,clarington this week,Wednesday/Thursday,25845,3.23,1160.0,1160.0,10.0,161.0,10,2014
333,clarington this week,Wednesday/Thursday,25845,3.23,1160.0,1160.0,10.0,161.0,10.0,2015
334,clarington this week,Wednesday/Thursday,25845,3.23,1160.0,1160.0,10.0,161.0,10.0,2015
335,clarington this week,Wednesday/Thursday,25663,3.23,,1160.0,10.0,161.0,10.0,2016
336,clarington this week,Wednesday/Thursday,25663,3.23,,1160.0,10.0,161.0,10.0,2016
337,clarington this week,Wednesday/Thursday,25663,3.23,,1160.0,10.0,161.0,10.0,2017
338,clarington this week,Wednesday/Thursday,25663,3.23,,1160.0,10.0,161.0,10.0,2017
339,clarington this week,Wednesday/Thursday,25912,3.23,,1160.0,10.0,161.0,10.0,2018
340,clarington this week,Wednesday/Thursday,25912,3.23,,1160.0,10.0,161.0,10.0,2018
341,clarington this week,Wednesday/Thursday,25731,3.23,,1160.0,10.0,161.0,10.0,2019
342,clarington this week,Wednesday/Thursday,25731,3.23,,1160.0,10.0,161.0,10.0,2019
343,clinton news record,Wednesday,1714,0.72,88.0,353.0,9.0,160.0,3.0,2013
344,clinton news record,Wednesday,1484,0.72,88.0,353.0,9.0,160.0,3,2014
345,clinton news record,Wednesday,1339,0.73,88.0,353.0,9.0,160.0,3.0,2015
346,clinton news record,Wednesday,1232,0.73,,353.0,9.0,160.0,3.0,2016
347,clinton news record,Wednesday,1157,0.73,,353.0,9.0,160.0,3.0,2017
348,clinton news record,Wednesday,1004,0.73,,353.0,9.0,160.0,3.0,2018
349,clinton news record,Wednesday,1004,0.66,,353.0,10.0,160.0,10.0,2019
350,cochrane times post,Thursday,2007,0.87,128.0,386.0,9.0,160.0,3.0,2013
351,cochrane times post,Thursday,1882,0.87,128.0,386.0,9.0,160.0,3,2014
352,cochrane times post,Thursday,1712,0.87,128.0,386.0,9.0,160.0,3.0,2015
353,cochrane times post,Thursday,1539,0.87,,386.0,9.0,160.0,3.0,2016
354,cochrane times post,Thursday,1381,0.87,,386.0,9.0,160.0,3.0,2017
355,cochrane times post,Thursday,1093,0.87,,386.0,9.0,160.0,3.0,2018
356,cochrane times post,Thursday,974,0.87,,386.0,10.0,160.0,10.0,2019
357,collingwood connection,Thursday,11500,2.16,335.0,1160.0,10.0,175.0,10.0,2013
358,collingwood connection,Thursday,10819,2.35,1160.0,1160.0,10.0,161.0,10,2014
359,collingwood connection,Thursday,11098,2.35,1160.0,1160.0,10.0,161.0,10.0,2015
360,collingwood connection,Thursday,11509,2.35,,1160.0,10.0,161.0,10.0,2016
361,collingwood connection,Thursday,11441,2.35,,1160.0,10.0,161.0,10.0,2017
362,collingwood connection,Thursday,11584,2.35,,1160.0,10.0,161.0,10.0,2018
363,collingwood connection,Thursday,11586,2.35,,1160.0,10.0,161.0,10.0,2019
364,collingwood connection wasaga stayner sun,Thursday,23164,3.53,2320.0,2320.0,10.0,161.0,10,2014
365,collingwood connection wasaga stayner sun,Thursday,23354,3.53,2320.0,2320.0,10.0,161.0,10.0,2015
366,collingwood connection wasaga stayner sun,Thursday,23765,3.53,,2320.0,10.0,161.0,10.0,2016
367,collingwood connection wasaga stayner sun,Thursday,23948,3.53,,2320.0,10.0,161.0,10.0,2017
368,collingwood connection wasaga stayner sun,Thursday,24635,3.53,,2320.0,10.0,161.0,10.0,2018
369,collingwood connection wasaga stayner sun,Thursday,24825,3.53,,2320.0,10.0,161.0,10.0,2019
370,collingwood enterprise bulletin,Friday,17041,0.98,186.0,309.0,10.0,287.0,3.0,2013
371,collingwood enterprise bulletin,Friday,18389,0.98,186.0,309.0,10.0,287.0,3,2014
372,collingwood enterprise bulletin,Friday,19153,0.98,186.0,309.0,10.0,287.0,3.0,2015
373,collingwood enterprise bulletin,Friday,19153,1.0,,319.0,10.0,287.0,3.0,2016
374,collingwood enterprise bulletin,Friday,19153,1.0,,319.0,10.0,287.0,10.0,2017
375,cornwall express,Thursday,36541,1.6,229.0,229.0,8.0,224.0,12.0,2013
376,cornwall express,Thursday,36541,1.6,229.0,229.0,8.0,224.0,12,2014
377,cornwall express,Thursday,36541,,,,8.0,175.0,12.0,2015
378,cornwall express,Thursday,36541,,,,8.0,175.0,12.0,2016
379,cornwall express,Thursday,36541,,,,8.0,175.0,12.0,2017
380,cornwall express,Wednesday,36541,,,,8.0,175.0,12.0,2018
381,cornwall seaway news,Thursday,36541,1.6,229.0,229.0,8.0,224.0,12.0,2013
382,cornwall seaway news,Thursday,36541,1.6,229.0,229.0,8.0,224.0,12,2014
383,cornwall seaway news,Thursday,36541,,,,8.0,175.0,12.0,2015
384,cornwall seaway news,Thursday,36541,,,,8.0,175.0,12.0,2016
385,cornwall seaway news,Thursday,36541,,,,8.0,175.0,12.0,2017
386,cornwall seaway news,Wednesday,36541,,,,8.0,175.0,12.0,2018
387,cornwall seaway news,Wednesday,36541,,,,8.0,175.0,12.0,2019
388,creemore echo,Friday,3546,0.69,265.0,265.0,6.0,220.0,5.0,2013
389,creemore echo,Friday,3659,0.69,265.0,265.0,6.0,220.0,5,2014
390,creemore echo,Friday,3901,0.69,118.0,118.0,6.0,220.0,5.0,2015
391,creemore echo,Friday,3831,0.69,,118.0,6.0,220.0,5.0,2016
392,creemore echo,Friday,3846,0.69,,118.0,6.0,220.0,5.0,2017
393,creemore echo,Friday,3896,0.69,,118.0,6.0,220.0,5.0,2018
394,creemore echo,Friday,3896,0.69,,118.0,6.0,220.0,5.0,2019
395,deep river north renfrew times,Wednesday,1963,0.49,310.0,310.0,9.0,196.0,3.0,2013
396,deep river north renfrew times,Wednesday,1963,0.51,224.0,224.0,9.0,196.0,3,2014
397,deep river north renfrew times,Wednesday,1809,0.53,224.0,224.0,9.0,196.0,3.0,2015
398,deep river north renfrew times,Wednesday,1831,0.53,,224.0,9.0,196.0,3.0,2016
399,deep river north renfrew times,Wednesday,1783,0.55,,224.0,9.0,196.0,3.0,2017
400,deep river north renfrew times,Wednesday,1661,0.71,,282.0,9.0,196.0,3.0,2018
401,deep river north renfrew times,Wednesday,1550,0.71,,282.0,9.0,196.0,3.0,2019
402,delhi news record,Wednesday,542,1.07,135.0,400.0,9.0,160.0,3.0,2013
403,delhi news record,Wednesday,506,1.07,135.0,400.0,9.0,160.0,3,2014
404,delhi news record,Thursday,3200,1.07,135.0,400.0,10.0,287.0,3.0,2015
405,delhi news record,Thursday,3200,1.07,,400.0,10.0,287.0,3.0,2016
406,delhi news record,Thursday,3200,1.09,,400.0,10.0,287.0,10.0,2017
407,delhi news record,Thursday,3200,1.11,,400.0,10.0,287.0,10.0,2018
408,delhi news record,Thursday,3200,1.11,,400.0,10.0,287.0,10.0,2019
409,dorchester signpost,Wednesday,1766,1.06,176.0,529.0,5.0,221.0,4.0,2013
410,dorchester signpost,Wednesday,1750,1.09,176.0,176.0,5.0,221.0,4,2014
411,dorchester signpost,Wednesday,1670,1.09,176.0,176.0,5.0,221.0,4.0,2015
412,dorchester signpost,Wednesday,1670,1.09,,176.0,5.0,221.0,4.0,2016
413,dorchester signpost,Wednesday,1566,1.09,,176.0,5.0,221.0,4.0,2017
414,dorchester signpost,Wednesday,1468,1.15,,188.0,5.0,221.0,4.0,2018
415,dorchester signpost,Wednesday,1428,1.19,,200.0,5.0,221.0,4.0,2019
416,drayton community news,Friday,5404,0.71,282.0,282.0,6.0,220.0,5.0,2013
417,drayton community news,Friday,5369,0.71,282.0,282.0,6.0,220.0,5,2014
418,drayton community news,Friday,5407,0.71,282.0,282.0,6.0,220.0,5.0,2015
419,drayton community news,Friday,5451,0.71,,282.0,6.0,220.0,5.0,2016
420,drayton community news,Friday,5157,0.74,,282.0,6.0,220.0,5.0,2017
421,drayton community news,Friday,5048,0.74,,282.0,6.0,220.0,5.0,2018
422,drayton community news,Thursday,5051,0.74,,282.0,6.0,220.0,5.0,2019
423,dresden bothwell leader spirit,Thursday,4500,0.61,82.0,188.0,9.0,160.0,3.0,2013
424,dryden observer,Wednesday,2885,0.85,126.0,315.0,6.0,301.0,2.0,2013
425,dryden observer,Wednesday,2885,0.86,126.0,315.0,6.0,301.0,2,2014
426,dryden observer,Wednesday,2345,0.87,126.0,315.0,6.0,301.0,2.0,2015
427,dryden observer,Wednesday,2190,1.64,,315.0,6.0,160.0,5.0,2016
428,dryden observer,Wednesday,2080,1.66,,315.0,6.0,160.0,5.0,2017
429,dryden observer,Wednesday,1727,1.68,,315.0,6.0,160.0,5.0,2018
430,dryden observer red lake northern sun news,Wednesday,2538,2.19,,315.0,6.0,160.0,5.0,2019
431,dryden the rising sun,Friday,4350,1.89,,433.0,6.0,160.0,5.0,2017
432,dundalk herald,Wednesday,1813,0.82,353.0,353.0,6.0,301.0,1.0,2013
433,dundalk herald,Wednesday,1817,0.82,353.0,353.0,6.0,301.0,2,2014
434,dundalk herald,Wednesday,1730,0.82,353.0,353.0,6.0,301.0,2.0,2015
435,dundalk herald,Wednesday,1730,0.82,,353.0,6.0,301.0,2.0,2016
436,dundalk herald,Wednesday,1777,0.82,,353.0,6.0,301.0,2.0,2017
437,dundalk herald,Wednesday,1443,0.82,,353.0,6.0,301.0,2.0,2018
438,dundalk herald,Wednesday,1443,0.82,,353.0,6.0,301.0,2.0,2019
439,dundas star news,Thursday,18105,1.7,335.0,1160.0,10.0,175.0,10.0,2013
440,dundas star news,Thursday,18117,1.85,1160.0,1160.0,10.0,161.0,10,2014
441,dundas star news,Thursday,15745,1.85,1160.0,1160.0,10.0,161.0,10.0,2015
442,dundas star news,Thursday,15415,1.85,,1160.0,10.0,161.0,10.0,2016
443,dundas star news,Thursday,15413,1.85,,1160.0,10.0,161.0,10.0,2017
444,dundas star news,Thursday,15067,1.85,,1160.0,10.0,161.0,10.0,2018
445,dundas star news,Thursday,14638,1.85,,1160.0,10.0,161.0,10.0,2019
446,east gwillimbury express,Thursday,7550,0.54,1160.0,1160.0,10.0,301.0,10.0,2015
447,east gwillimbury express,Thursday,7443,0.54,,1160.0,10.0,301.0,10.0,2016
448,east gwillimbury express,Thursday,7276,0.54,,1160.0,10.0,301.0,10.0,2017
449,east gwillimbury express,Thursday,7276,0.54,,1160.0,10.0,161.0,10.0,2018
450,east gwillimbury express,Thursday,7259,0.54,,1160.0,10.0,161.0,10.0,2019
451,east york beach neighbourhood voice,Thursday,45704,6.18,,1160.0,10.0,161.0,10.0,2019
452,east york riverdale beach mirror,Thursday,55569,5.49,335.0,1160.0,10.0,175.0,10.0,2013
453,east york riverdale beach mirror,Thursday,56393,6.0,1160.0,1160.0,10.0,161.0,10,2014
454,east york riverdale beach mirror,Thursday,56734,6.0,1160.0,1160.0,10.0,161.0,10.0,2015
455,east york riverdale beach mirror,Thursday,58355,6.0,,1160.0,10.0,161.0,10.0,2016
456,east york riverdale beach mirror,Thursday,57549,6.0,,1160.0,10.0,161.0,10.0,2017
457,east york riverdale beach mirror,Thursday,57123,6.18,,1160.0,10.0,161.0,10.0,2018
458,eganville leader,Wednesday,5466,0.97,176.0,412.0,8.0,294.0,7.0,2013
459,eganville leader,Wednesday,5453,0.97,176.0,412.0,8.0,294.0,7,2014
460,eganville leader,Wednesday,5831,0.97,176.0,412.0,8.0,294.0,7.0,2015
461,eganville leader,Wednesday,6018,0.97,,412.0,8.0,294.0,7.0,2016
462,eganville leader,Wednesday,6096,0.97,,412.0,8.0,294.0,7.0,2017
463,eganville leader,Wednesday,5629,1.0,,412.0,8.0,294.0,7.0,2018
464,eganville leader,Wednesday,5652,1.06,,412.0,8.0,294.0,7.0,2019
465,elliot lake the standard,Wednesday,3775,0.85,59.0,176.0,9.0,210.0,3.0,2013
466,elliot lake the standard,Thursday,3715,0.87,59.0,176.0,9.0,210.0,3,2014
467,elliot lake the standard,Thursday,3238,0.99,59.0,176.0,9.0,175.0,3.0,2015
468,elliot lake the standard,Thursday,2931,0.99,,176.0,9.0,160.0,3.0,2016
469,elliot lake the standard,Thursday,2588,0.99,,176.0,9.0,160.0,3.0,2017
470,elliot lake the standard,Thursday,2357,0.99,,176.0,9.0,160.0,3.0,2018
471,elliot lake the standard,Thursday,2135,0.99,,176.0,10.0,160.0,10.0,2019
472,elmira independent,Thursday,3176,0.95,116.0,294.0,10.0,175.0,10.0,2013
473,elmira independent,Thursday,4034,1.03,294.0,294.0,10.0,161.0,10,2014
474,elmira independent,Friday,10591,0.85,294.0,294.0,10.0,161.0,10.0,2015
475,elmira woolwich observer,Saturday,15107,1.18,147.0,441.0,6.0,196.0,5.0,2013
476,elmira woolwich observer,Saturday,15139,1.18,353.0,353.0,6.0,193.0,5,2014
477,elmira woolwich observer,Saturday,15204,1.18,353.0,353.0,6.0,193.0,5.0,2015
478,elmira woolwich observer,Thursday,14911,1.18,,353.0,6.0,193.0,5.0,2016
479,elmira woolwich observer,Thursday,14915,1.18,,353.0,6.0,193.0,5.0,2017
480,elmira woolwich observer,Thursday,14866,1.24,,353.0,6.0,193.0,5.0,2018
481,elmira woolwich observer,Thursday,14866,1.27,,353.0,6.0,193.0,5.0,2019
482,elmvale springwater news,Thursday,15194,0.71,294.0,294.0,9.0,224.0,3.0,2013
483,elmvale springwater news,Thursday,17155,0.82,294.0,294.0,9.0,224.0,3,2014
484,elmvale springwater news,Thursday,17597,0.82,294.0,294.0,9.0,224.0,3.0,2015
485,elmvale springwater news,Thursday,17597,0.82,,294.0,9.0,224.0,3.0,2016
486,elmvale springwater news,Thursday,17597,0.82,,294.0,9.0,224.0,3.0,2017
487,elmvale springwater news,Thursday,17597,0.82,,294.0,9.0,224.0,3.0,2018
488,elmvale springwater news,Thursday,17597,0.82,,294.0,9.0,224.0,3.0,2019
489,erin advocate,Wednesday,1698,1.84,335.0,1160.0,10.0,175.0,10.0,2013
490,erin advocate,Wednesday,1750,2.01,1160.0,1160.0,10.0,161.0,10,2014
491,erin advocate,Wednesday,1384,2.01,1160.0,1160.0,10.0,161.0,10.0,2015
492,erin advocate,Wednesday,1250,2.01,,1160.0,10.0,161.0,10.0,2016
493,erin advocate,Wednesday,1074,2.01,,1160.0,10.0,161.0,10.0,2017
494,erin advocate,Thursday,2849,2.01,,1160.0,10.0,161.0,10.0,2018
495,erin advocate,Thursday,2849,2.01,,1160.0,10.0,161.0,10.0,2019
496,espanola mid north monitor,Wednesday,1630,0.68,59.0,176.0,9.0,210.0,3.0,2013
497,espanola mid north monitor,Thursday,1233,0.71,59.0,176.0,9.0,210.0,3,2014
498,espanola mid north monitor,Thursday,949,0.81,59.0,176.0,9.0,175.0,3.0,2015
499,espanola mid north monitor,Thursday,820,0.81,,176.0,9.0,160.0,3.0,2016
500,espanola mid north monitor,Thursday,793,0.81,,176.0,9.0,160.0,3.0,2017
501,espanola mid north monitor,Thursday,793,0.81,,176.0,9.0,160.0,3.0,2018
502,espanola mid north monitor,Thursday,793,0.81,,176.0,10.0,160.0,10.0,2019
503,essex free press,Thursday,10483,0.81,235.0,235.0,6.0,220.0,5.0,2013
504,essex free press,Thursday,10142,0.81,118.0,118.0,6.0,203.0,5,2014
505,essex free press,Thursday,10016,0.81,118.0,118.0,6.0,203.0,5.0,2015
506,essex free press,Thursday,9917,0.84,,118.0,6.0,203.0,5.0,2016
507,essex free press,Thursday,9975,0.84,,118.0,6.0,203.0,5.0,2017
508,essex free press,Thursday,9900,0.84,,118.0,6.0,203.0,5.0,2018
509,essex free press,Thursday,9950,0.89,,118.0,6.0,203.0,5.0,2019
510,etobicoke guardian,Friday,69131,6.08,335.0,1160.0,10.0,175.0,10.0,2013
511,etobicoke guardian,Thursday,69433,6.08,335.0,1160.0,10.0,175.0,10.0,2013
512,etobicoke guardian,Thursday,69333,6.64,1160.0,1160.0,10.0,161.0,10,2014
513,etobicoke guardian,Thursday,70109,6.64,1160.0,1160.0,10.0,161.0,10.0,2015
514,etobicoke guardian,Thursday,71507,6.64,,1160.0,10.0,161.0,10.0,2016
515,etobicoke guardian,Thursday,70703,6.64,,1160.0,10.0,161.0,10.0,2017
516,etobicoke guardian,Thursday,68437,6.84,,1160.0,10.0,161.0,10.0,2018
517,etobicoke guardian,Thursday,67721,6.84,,1160.0,10.0,161.0,10.0,2019
518,exeter times advocate,Wednesday,2888,0.96,335.0,1160.0,10.0,175.0,10.0,2013
519,exeter times advocate,Wednesday,2830,1.05,1160.0,1160.0,10.0,161.0,10,2014
520,exeter times advocate,Wednesday,2538,1.05,1160.0,1160.0,10.0,161.0,10.0,2015
521,exeter times advocate,Wednesday,2513,1.05,,1160.0,10.0,161.0,10.0,2016
522,exeter times advocate,Wednesday,2242,1.05,,1160.0,10.0,161.0,10.0,2017
523,exeter times advocate,Wednesday,2005,1.05,,118.0,10.0,161.0,10.0,2018
524,exeter times advocate,Wednesday,2871,1.05,,118.0,10.0,161.0,10.0,2019
525,exeter times advocate weekender,Friday,11148,1.06,335.0,1160.0,10.0,175.0,10.0,2013
526,exeter times advocate weekender,Thursday,10400,1.16,1160.0,1160.0,10.0,161.0,10,2014
527,exeter times advocate weekender,Thursday,11027,1.16,1160.0,1160.0,10.0,161.0,10.0,2015
528,exeter times advocate weekender,Thursday,11097,1.16,,1160.0,10.0,161.0,10.0,2016
529,exeter times advocate weekender,Thursday,11097,1.16,,1160.0,10.0,161.0,10.0,2017
530,exeter times advocate weekender,Thursday,11324,1.05,,118.0,10.0,161.0,10.0,2018
531,exeter times advocate weekender,Thursday,11324,1.05,,118.0,10.0,161.0,10.0,2019
532,fergus elora news express,Wednesday,8070,1.11,116.0,294.0,10.0,175.0,10.0,2013
533,fergus elora news express,Wednesday,8172,1.21,294.0,294.0,10.0,161.0,10,2014
534,fergus elora news express,Wednesday,8071,1.21,294.0,294.0,10.0,161.0,10.0,2015
535,fergus elora news express,Wednesday,7973,1.21,,294.0,10.0,161.0,10.0,2016
536,fergus elora news express,Wednesday,8303,1.21,,294.0,10.0,161.0,10.0,2017
537,fergus wellington advertiser,Friday,40314,1.61,282.0,282.0,6.0,220.0,5.0,2013
538,fergus wellington advertiser,Friday,40068,1.61,282.0,282.0,6.0,220.0,5,2014
539,fergus wellington advertiser,Friday,40470,1.64,282.0,282.0,6.0,220.0,5.0,2015
540,fergus wellington advertiser,Friday,40208,1.64,,282.0,6.0,220.0,5.0,2016
541,fergus wellington advertiser,Friday,39929,1.71,,282.0,6.0,220.0,5.0,2017
542,fergus wellington advertiser,Friday,39925,1.76,,282.0,6.0,220.0,5.0,2018
543,fergus wellington advertiser,Thursday,40151,1.76,,282.0,6.0,220.0,5.0,2019
544,flesherton advance,Wednesday,1335,0.82,353.0,353.0,6.0,301.0,1.0,2013
545,flesherton advance,Wednesday,1268,0.82,353.0,353.0,6.0,301.0,2,2014
546,flesherton advance,Wednesday,1292,0.82,353.0,353.0,6.0,301.0,2.0,2015
547,flesherton advance,Wednesday,1292,0.82,,353.0,6.0,301.0,2.0,2016
548,flesherton advance,Wednesday,1299,0.82,,353.0,6.0,301.0,2.0,2017
549,flesherton advance,Wednesday,1221,0.82,,353.0,6.0,301.0,2.0,2018
550,flesherton advance,Wednesday,1221,0.82,,353.0,6.0,301.0,2.0,2019
551,forest standard,Thursday,2110,0.89,76.0,271.0,6.0,210.0,5.0,2013
552,forest standard,Thursday,2121,0.89,76.0,271.0,6.0,210.0,5,2014
553,forest standard,Thursday,1959,0.91,100.0,271.0,6.0,210.0,5.0,2015
554,forest watford standard guide advocate,Thursday,2069,1.2,,282.0,6.0,210.0,5.0,2016
555,forest watford standard guide advocate,Thursday,1919,1.2,,282.0,6.0,210.0,5.0,2017
556,forest watford standard guide advocate,Thursday,1754,1.2,,282.0,6.0,210.0,5.0,2018
557,forest watford standard guide advocate,Thursday,1466,1.2,,282.0,6.0,210.0,5.0,2019
558,fort erie times,Saturday,11985,0.74,88.0,206.0,9.0,160.0,3.0,2013
559,fort erie times,Thursday,12192,0.74,88.0,206.0,9.0,160.0,3,2014
560,fort erie times,Thursday,12321,0.74,88.0,206.0,9.0,160.0,3.0,2015
561,fort erie times,Thursday,12482,0.74,,206.0,9.0,160.0,3.0,2016
562,fort erie times,Thursday,12530,0.74,,206.0,9.0,160.0,3.0,2017
563,fort frances times,Wednesday,4455,1.35,135.0,382.0,6.0,301.0,1.0,2013
564,fort frances times,Wednesday,4023,1.35,135.0,382.0,6.0,301.0,1,2014
565,fort frances times,Wednesday,4007,1.39,135.0,388.0,6.0,301.0,1.0,2015
566,fort frances times,Wednesday,3394,1.42,,388.0,6.0,301.0,1.0,2016
567,fort frances times,Wednesday,3816,1.45,,395.0,6.0,301.0,1.0,2017
568,fort frances times,Wednesday,3420,1.52,,395.0,6.0,301.0,1.0,2018
569,fort frances times,Wednesday,3059,1.55,,400.0,6.0,301.0,1.0,2019
570,frontenac gazette,Thursday,8515,0.57,1160.0,1160.0,10.0,189.0,10,2014
571,frontenac gazette,Thursday,8727,0.67,1160.0,1160.0,10.0,161.0,10.0,2015
572,frontenac gazette,Thursday,8882,0.67,,1160.0,10.0,161.0,10.0,2016
573,frontenac gazette,Thursday,8622,0.67,,1160.0,10.0,161.0,10.0,2017
574,frontenac news,Thursday,8641,0.82,335.0,1160.0,6.0,218.0,5.0,2013
575,frontenac news,Thursday,9198,0.88,106.0,235.0,6.0,205.0,5.0,2013
576,frontenac news,Thursday,9166,1.0,106.0,235.0,6.0,205.0,5,2014
577,frontenac news,Thursday,9210,1.0,106.0,235.0,6.0,205.0,5.0,2015
578,frontenac news,Thursday,9159,1.02,,259.0,6.0,205.0,5.0,2016
579,frontenac news,Thursday,9135,1.02,,259.0,6.0,205.0,5.0,2017
580,frontenac news,Thursday,9274,1.06,,259.0,6.0,205.0,5.0,2018
581,frontenac news,Thursday,12241,1.12,,259.0,6.0,205.0,5.0,2019
582,gananoque reporter,Thursday,7500,1.08,176.0,429.0,9.0,160.0,3.0,2013
583,gananoque reporter,Thursday,7500,1.11,176.0,429.0,9.0,160.0,3,2014
584,gananoque reporter,Thursday,6782,1.11,176.0,429.0,9.0,160.0,3.0,2015
585,gananoque reporter,Thursday,6463,1.11,,429.0,9.0,160.0,3.0,2016
586,gananoque reporter,Thursday,6463,1.11,,429.0,9.0,160.0,3.0,2017
587,gananoque reporter,Thursday,6452,1.11,,429.0,10.0,160.0,10.0,2018
588,gananoque reporter,Thursday,6452,1.11,,429.0,10.0,160.0,10.0,2019
589,georgetown acton independent free press,Thursday,22197,2.57,335.0,1160.0,10.0,175.0,10.0,2013
590,georgetown acton independent free press,Tuesday,22022,2.57,335.0,1160.0,10.0,175.0,10.0,2013
591,georgetown acton independent free press,Thursday,22215,2.8,1160.0,1160.0,10.0,161.0,10,2014
592,georgetown acton independent free press,Thursday,22304,2.8,1160.0,1160.0,10.0,161.0,10.0,2015
593,georgetown acton independent free press,Thursday,22541,2.8,,1160.0,10.0,161.0,10.0,2016
594,georgetown acton independent free press,Thursday,22585,2.8,,1160.0,10.0,161.0,10.0,2017
595,georgetown acton independent free press,Thursday,22585,2.8,,1160.0,10.0,161.0,10.0,2018
596,georgetown acton independent free press,Thursday,23583,2.8,,1160.0,10.0,161.0,10.0,2019
597,georgina advocate,Thursday,17008,1.92,335.0,1160.0,10.0,175.0,10.0,2013
598,georgina advocate,Thursday,17139,2.1,1160.0,1160.0,10.0,161.0,10,2014
599,georgina advocate,Thursday,17530,2.1,1160.0,1160.0,10.0,161.0,10.0,2015
600,georgina advocate,Thursday,17539,2.1,,1160.0,10.0,161.0,10.0,2016
601,georgina advocate,Thursday,17190,2.1,,1160.0,10.0,161.0,10.0,2017
602,georgina advocate,Thursday,17190,2.1,,1160.0,10.0,161.0,10.0,2018
603,georgina advocate,Thursday,16877,2.1,,1160.0,10.0,161.0,10.0,2019
604,geraldton times star,Wednesday,1098,0.72,259.0,0.0,5.0,220.0,4.0,2013
605,geraldton times star,Wednesday,1092,0.73,265.0,0.0,5.0,220.0,4,2014
606,geraldton times star,Wednesday,1075,0.75,271.0,,5.0,220.0,4.0,2015
607,geraldton times star,Wednesday,770,0.81,,,5.0,220.0,4.0,2016
608,geraldton times star,Wednesday,770,0.86,,,5.0,220.0,4.0,2017
609,geraldton times star,Wednesday,661,0.98,,,5.0,220.0,4.0,2018
610,geraldton times star,Wednesday,489,0.99,,,5.0,220.0,4.0,2019
611,glanbrook gazette,Thursday,7663,0.78,335.0,1160.0,10.0,175.0,10.0,2013
612,glanbrook gazette,Thursday,8064,0.85,1160.0,1160.0,10.0,161.0,10,2014
613,glanbrook gazette,Thursday,8391,0.85,1160.0,1160.0,10.0,161.0,10.0,2015
614,glanbrook gazette,Thursday,8550,0.85,,1160.0,10.0,161.0,10.0,2016
615,glanbrook gazette,Thursday,8756,0.85,,1160.0,10.0,161.0,10.0,2017
616,glanbrook gazette,Thursday,9194,0.85,,1160.0,10.0,161.0,10.0,2018
617,glanbrook gazette,Thursday,9194,0.85,,1160.0,10.0,161.0,10.0,2019
618,glencoe transcript free press,Thursday,1258,0.89,76.0,271.0,6.0,210.0,5.0,2013
619,glencoe transcript free press,Thursday,1196,0.89,76.0,271.0,6.0,210.0,5,2014
620,glencoe transcript free press,Thursday,1107,0.91,100.0,271.0,6.0,210.0,5.0,2015
621,goderich signal star,Wednesday,4403,0.78,88.0,235.0,9.0,160.0,3.0,2013
622,goderich signal star,Wednesday,4276,0.78,88.0,235.0,9.0,160.0,3,2014
623,goderich signal star,Wednesday,3772,0.77,88.0,235.0,9.0,160.0,3.0,2015
624,goderich signal star,Wednesday,3607,0.77,,235.0,9.0,160.0,3.0,2016
625,goderich signal star,Wednesday,3585,0.77,,235.0,9.0,160.0,3.0,2017
626,goderich signal star,Wednesday,3126,0.77,,235.0,9.0,160.0,3.0,2018
627,goderich signal star,Wednesday,2744,0.69,,235.0,10.0,160.0,10.0,2019
628,grand bend lakeshore advance,Wednesday,1152,0.66,88.0,353.0,9.0,160.0,3.0,2013
629,grand bend lakeshore advance,Wednesday,1141,0.72,88.0,353.0,9.0,160.0,3,2014
630,grand bend lakeshore advance,Wednesday,992,0.73,88.0,353.0,9.0,160.0,3.0,2015
