index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
300,152.0,2015,44048.0,44048.0,0.0,0.0,metroland media group ltd.,44326.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2015
301,152.0,2016,44637.0,44637.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2016
302,152.0,2017,43727.0,43727.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2017
303,152.0,2018,43457.0,43457.0,0.0,0.0,metroland media group ltd.,43515.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2018
304,152.0,2019,42737.0,42737.0,0.0,0.0,metroland media group ltd.,43257.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2019
305,153.0,2013,39475.0,39475.0,0.0,0.0,metroland media group ltd.,39098.0,1.84,335.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2013
306,153.0,2014,40177.0,40177.0,0.0,0.0,metroland media group ltd.,39475.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2014
307,153.0,2015,39134.0,39134.0,0.0,0.0,metroland media group ltd.,39150.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2015
308,153.0,2016,39312.0,39312.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2016
309,153.0,2017,38918.0,38918.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2017
310,153.0,2018,38716.0,38716.0,0.0,0.0,metroland media group ltd.,38751.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2018
311,153.0,2019,38508.0,38508.0,0.0,0.0,metroland media group ltd.,38508.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2019
321,173.0,2013,7312.0,7312.0,0.0,0.0,the haliburton highlander limited,7312.0,0.95,88.0,88.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2013
322,173.0,2014,7430.0,7430.0,0.0,0.0,maple key media,6727.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2014
323,173.0,2015,8104.0,8104.0,0.0,0.0,maple key media,7430.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2015
324,173.0,2016,8389.0,8389.0,0.0,0.0,maple key media,8104.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2016
325,173.0,2017,8062.0,8062.0,0.0,0.0,the highlander newspaper limited,7313.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2017
326,173.0,2018,8798.0,8798.0,0.0,0.0,the highlander newspaper limited,8722.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2018
327,173.0,2019,8798.0,8798.0,0.0,0.0,the highlander newspaper limited,8798.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2019
353,203.0,2013,10726.0,10726.0,0.0,1.0,metroland media group ltd.,10726.0,1.37,335.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2013
354,203.0,2014,10891.0,10891.0,0.0,1.0,metroland media group ltd.,10785.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2014
355,203.0,2015,11376.0,11376.0,0.0,1.0,metroland media group ltd.,10998.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2015
356,203.0,2016,11661.0,11661.0,0.0,1.0,metroland media group ltd.,11376.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2016
357,203.0,2017,11848.0,11848.0,0.0,1.0,metroland media group ltd.,11661.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2017
358,203.0,2018,11885.0,11885.0,0.0,1.0,metroland media group ltd.,11848.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2018
359,203.0,2019,11866.0,11866.0,0.0,1.0,metroland media group ltd.,11849.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2019
360,211.0,2013,9467.0,9467.0,0.0,0.0,metroland media group ltd.,10391.0,0.8,335.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2013
361,211.0,2014,10616.0,10616.0,0.0,0.0,metroland media group ltd.,9467.0,0.56,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2014
362,211.0,2015,10471.0,10471.0,0.0,0.0,metroland media group ltd.,10454.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2015
363,211.0,2016,10640.0,10640.0,0.0,0.0,metroland media group ltd.,10471.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2016
364,211.0,2017,10676.0,10676.0,0.0,0.0,metroland media group ltd.,10640.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2017
365,211.0,2018,10681.0,10681.0,0.0,0.0,metroland media group ltd.,10676.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2018
366,211.0,2019,10742.0,10742.0,0.0,0.0,metroland media group ltd.,10710.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2019
367,213.0,2013,7342.0,7342.0,0.0,0.0,metroland media group ltd.,7342.0,0.63,335.0,1160.0,king connection,king connection,king connection,['Aurora'],2013
368,213.0,2014,6688.0,6688.0,0.0,0.0,metroland media group ltd.,5877.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2014
369,213.0,2015,7623.0,7623.0,0.0,0.0,metroland media group ltd.,7515.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2015
370,213.0,2016,6091.0,6091.0,0.0,0.0,metroland media group ltd.,7590.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2016
371,213.0,2017,5733.666666666667,5733.666666666667,0.0,0.0,metroland media group ltd.,6091.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2017
372,213.0,2018,5376.333333333333,5376.333333333333,0.0,0.0,metroland media group ltd.,6091.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2018
373,213.0,2019,5019.0,5019.0,0.0,0.0,metroland media group ltd.,5192.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2019
396,227.0,2013,11219.0,11219.0,0.0,0.0,postmedia network inc.,11174.0,1.04,129.0,388.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2013
