,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
2147,20000,12-times per year,T,2019,toronto,streeter central toronto,streeter publications ltd.,0,ON,20000,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
2148,19000,12-times per year,T,2019,toronto,streeter forest hill,streeter publications ltd.,0,ON,19000,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
2149,20000,12-times per year,T,2019,toronto,streeter leaside,streeter publications ltd.,0,ON,20000,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
2150,21000,12-times per year,T,2019,toronto,streeter north toronto,streeter publications ltd.,0,ON,21000,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
2151,29439,Tuesday,T,2013,sudbury,sudbury northern life,laurentian media group,9081,ON,38520,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0
2152,37704,Thursday,T,2013,sudbury,sudbury northern life,laurentian media group,9724,ON,47428,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0
2153,13536,Thursday,T,2014,stouffville,suntribune,metroland media group ltd.,1,ON,13537,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2154,13489,Thursday,T,2015,stouffville,suntribune,metroland media group ltd.,0,ON,13489,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2155,14097,Thursday,T,2016,stouffville,suntribune,metroland media group ltd.,0,ON,14097,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2156,14097,Thursday,T,2017,stouffville,suntribune,metroland media group ltd.,0,ON,14097,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2157,14097,Thursday,T,2018,stouffville,suntribune,metroland media group ltd.,0,ON,14097,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2158,14077,Thursday,T,2019,stouffville,suntribune,metroland media group ltd.,0,ON,14077,metroland media group ltd.,"['stouffville ,ON, Canada']",45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
2159,44065,Sunday,T,2014,vaughan,tandem,vaughan tandem,0,ON,44065,vaughan tandem,"['vaughan ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
2160,44065,Sunday,T,2015,vaughan,tandem,vaughan tandem,0,ON,44065,vaughan tandem,"['vaughan ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
2161,44065,Sunday,T,2016,vaughan,tandem,vaughan tandem,0,ON,44065,vaughan tandem,"['vaughan ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
