,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs
45,13037,Thursday,T,2018,ancaster,ancaster news,metroland media group ltd.,0,ON,13037,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
46,13111,Thursday,T,2019,ancaster,ancaster news,metroland media group ltd.,0,ON,13111,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
47,33500,Thursday,T,2013,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,33500,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
48,25000,Thursday,T,2014,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
49,25000,Thursday,T,2015,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
50,25000,Thursday,T,2016,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
51,25000,Thursday,T,2017,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
52,25000,Thursday,T,2018,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
53,25000,Thursday,T,2019,toronto,annex gleaner,burchell publishing co. ltd.,0,ON,25000,burchell publishing co. ltd.,"['toronto ,ON, Canada']",2731571,2615060,4.5,1179057,1112929,4334.4,630.2,40.6,2294785,377340,561090,1356360,65015,835255,2294790,2187030,30089,2691665,1332085,1266000,"[(43.6534817, -79.3839347)]",['Toronto']
54,7668,Thursday,T,2013,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7668,metroland media group ltd.,"['arnprior ,ON, Canada']",8795,8114,8.4,4124,3912,672.7,13.07,45.4,7160,1385,2290,3485,125,875,7160,6955,33579,8515,8070,435,"[(45.433515, -76.3543692)]",['Arnprior']
55,7892,Thursday,T,2014,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7892,metroland media group ltd.,"['arnprior ,ON, Canada']",8795,8114,8.4,4124,3912,672.7,13.07,45.4,7160,1385,2290,3485,125,875,7160,6955,33579,8515,8070,435,"[(45.433515, -76.3543692)]",['Arnprior']
56,7941,Thursday,T,2015,arnprior,arnprior chronicle guide,metroland media group ltd.,0,ON,7941,metroland media group ltd.,"['arnprior ,ON, Canada']",8795,8114,8.4,4124,3912,672.7,13.07,45.4,7160,1385,2290,3485,125,875,7160,6955,33579,8515,8070,435,"[(45.433515, -76.3543692)]",['Arnprior']
