,Newspaper,Issued,Circ,Audit,AuditDate,NatlLineRate,SpotColour,ProcessColour,Format,Columns,Lines,MaterialCode,Year
22,belleville news,Thursday,"23,146",CMCAC,03/31/12,$1.47,$335,"$1,160",T,6.0,218.0,5.0,2013
331,belleville news,Thursday,"24,279",CMCAC,12/31/12,$1.28,"$1,160","$1,160",T,10.0,189.0,10,2014
639,belleville news,Thursday,"22,354",CMCAC,12/31/13,$1.51,"$1,160","$1,160",T,10.0,161.0,10.0,2015
945,belleville news,Thursday,"22,872",CMCA,12/31/14,$1.51,,"$1,160",T,10.0,161.0,10.0,2016
1241,belleville news,Thursday,"22,628",CMCA,12/31/15,$1.51,,"$1,160",T,10.0,161.0,10.0,2017
21,belleville region the community press,Thursday,"45,279",CMCAC,06/30/12,$2.12,$276,$553,T,9.0,160.0,3.0,2013
330,belleville region the community press,Thursday,"46,122",CMCAC,12/31/12,$1.73,$176,$176,T,9.0,160.0,3,2014
638,belleville region the community press,Thursday,"45,644",CMCAC,06/30/14,$1.73,$176,$176,T,9.0,160.0,3.0,2015
944,belleville region the community press,Thursday,"45,939",CMCA,12/31/14,$1.73,,$176,T,9.0,160.0,3.0,2016
1240,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,9.0,160.0,3.0,2017
1525,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,10.0,160.0,10.0,2018
1769,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,10.0,160.0,10.0,2019
23,blenheim news tribune,Wednesday,"2,271",ABC,03/31/12,$0.52,$94,$153,T,6.0,224.0,5.0,2013
332,blenheim news tribune,Wednesday,"2,241",ABC,03/31/13,$0.52,$94,$153,T,6.0,224.0,5,2014
640,blenheim news tribune,Wednesday,"2,272",AAM,09/30/13,$0.52,$94,$153,T,6.0,224.0,5.0,2015
946,blenheim news tribune,Wednesday,"2,112",AAM,03/31/15,$0.54,,$176,T,6.0,224.0,5.0,2016
1242,blenheim news tribune,Wednesday,"2,112",AAM,03/31/15,$0.54,,$176,T,6.0,224.0,5.0,2017
1526,blenheim news tribune,Wednesday,"2,088",AAM,12/31/15,$0.54,,$176,T,6.0,224.0,5.0,2018
1770,blenheim news tribune,Wednesday,"2,088",AAM,12/31/15,$0.54,,$176,T,6.0,224.0,5.0,2019
24,blyth brussels citizen,Thursday,"1,844",CMCAP,08/31/12,$0.39,$71,$235,T,9.0,210.0,3.0,2013
333,blyth brussels citizen,Thursday,"1,820",CMCAP,02/28/13,$0.40,$71,$235,T,9.0,210.0,3,2014
641,blyth brussels citizen,Thursday,"1,798",CMCAP,02/28/14,$0.41,$71,$235,T,9.0,210.0,3.0,2015
947,blyth brussels citizen,Thursday,"1,762",CMCA,02/28/15,$0.42,,$235,T,9.0,210.0,3.0,2016
1243,blyth brussels citizen,Thursday,"1,756",CMCA,02/28/16,$0.44,,$235,T,9.0,210.0,3.0,2017
1527,blyth brussels citizen,Thursday,"1,775",CMCA,02/28/17,$0.79,,$235,T,5.0,210.0,4.0,2018
1771,blyth brussels citizen,Thursday,"1,846",CMCA,02/28/18,$0.82,,$235,T,5.0,210.0,4.0,2019
25,bracebridge examiner,Wednesday,"2,708",CMCAP,04/30/12,$1.32,$335,"$1,160",B,10.0,301.0,10.0,2013
334,bracebridge examiner,Thursday,"8,849",PS,,$2.21,"$1,160","$1,160",T,10.0,161.0,10,2014
642,bracebridge examiner,Thursday,"8,974",CMCAC,04/30/14,$2.21,"$1,160","$1,160",T,10.0,161.0,10.0,2015
948,bracebridge examiner,Thursday,"8,609",CMCA,04/30/15,$2.21,,"$1,160",T,10.0,161.0,10.0,2016
1244,bracebridge examiner,Thursday,"8,609",CMCA,04/30/15,$2.21,,"$1,160",T,10.0,161.0,10.0,2017
1528,bracebridge examiner,Thursday,"7,970",CMCA,04/30/17,$2.21,,"$1,160",T,10.0,161.0,10.0,2018
1772,bracebridge examiner,Thursday,"7,970",CMCA,04/30/17,$2.21,,"$1,160",T,10.0,161.0,10.0,2019
26,bradford west gwillimbury topic,Thursday,"9,050",CCAB,03/31/12,$1.37,$335,"$1,160",T,10.0,175.0,10.0,2013
335,bradford west gwillimbury topic,Thursday,"9,507",CCAB,03/31/13,$1.50,"$1,160","$1,160",T,10.0,161.0,10,2014
643,bradford west gwillimbury topic,Thursday,"10,330",CCAB,03/31/14,$1.50,"$1,160","$1,160",T,10.0,161.0,10.0,2015
949,bradford west gwillimbury topic,Thursday,"10,224",CCAB,03/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2016
1245,bradford west gwillimbury topic,Thursday,"10,538",CMCA,12/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2017
1529,bradford west gwillimbury topic,Thursday,"10,538",CMCA,12/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2018
1773,bradford west gwillimbury topic,Thursday,"10,434",CCAB,06/30/18,$1.50,,"$1,160",T,10.0,161.0,10.0,2019
27,brampton guardian,Friday,"118,875",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
28,brampton guardian,Thursday,"117,857",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
29,brampton guardian,Wednesday,"118,064",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
336,brampton guardian,Friday,"112,109",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
337,brampton guardian,Thursday,"123,247",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
338,brampton guardian,Wednesday,"112,430",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
644,brampton guardian,Friday,"111,746",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
645,brampton guardian,Thursday,"126,420",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
646,brampton guardian,Wednesday,"114,175",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
950,brampton guardian,Friday,"115,738",CCAB,03/31/15,$5.07,,"$1,160",T,10.0,161.0,10.0,2016
951,brampton guardian,Thursday,"129,139",CCAB,03/31/15,$5.07,,"$1,160",T,10.0,161.0,10.0,2016
1246,brampton guardian,Friday,"116,447",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2017
1247,brampton guardian,Thursday,"129,958",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2017
1530,brampton guardian,Thursday,"129,958",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2018
1774,brampton guardian,Thursday,"137,258",CCAB,06/30/18,$5.07,,"$1,160",T,10.0,161.0,10.0,2019
30,brantford brant news,Thursday,"48,334",CCAB,03/31/12,$2.53,$335,"$1,160",T,6.0,190.0,5.0,2013
339,brantford brant news,Thursday,"48,299",CCAB,03/31/13,$1.85,"$1,160","$1,160",T,10.0,161.0,10,2014
648,brantford brant news,Thursday,"48,675",CCAB,03/31/14,$1.85,"$1,160","$1,160",T,10.0,161.0,10.0,2015
953,brantford brant news,Thursday,"48,869",CCAB,03/31/15,$1.85,,"$1,160",T,10.0,161.0,10.0,2016
1249,brantford brant news,Thursday,"49,012",CCAB,03/31/16,$1.85,,"$1,160",T,10.0,161.0,10.0,2017
647,brantford expositor your tmc newspaper,Thursday,"47,465",CCAB,12/31/13,$2.51,$235,$471,B,10.0,287.0,3.0,2015
952,brantford expositor your tmc newspaper,Thursday,"43,096",CCAB,12/31/14,$2.51,,$471,B,10.0,287.0,3.0,2016
1248,brantford expositor your tmc newspaper,Thursday,"43,096",CCAB,12/31/14,$2.51,,$471,B,10.0,287.0,10.0,2017
1531,brantford expositor your tmc newspaper,Thursday,"42,817",CCAB,12/31/15,$2.58,,$485,B,10.0,287.0,10.0,2018
31,brantford your brant connection,Thursday,"51,463",PS,,$1.21,$121,$364,T,9.0,160.0,3.0,2013
32,brighton independent,Thursday,"16,983",CMCAC,02/28/09,$1.72,$335,"$1,160",T,10.0,175.0,10.0,2013
340,brighton independent,Thursday,"7,251",PS,,$0.55,"$1,160","$1,160",T,10.0,189.0,10,2014
649,brighton independent,Thursday,"7,251",PS,,$0.64,"$1,160","$1,160",T,10.0,161.0,10.0,2015
954,brighton independent,Thursday,"7,775",CMCA,12/31/14,$0.64,,"$1,160",T,10.0,161.0,10.0,2016
1250,brighton independent,Thursday,"7,876",CMCA,12/31/15,$0.64,,"$1,160",T,10.0,161.0,10.0,2017
1532,brighton independent,Thursday,"7,874",CMCA,12/31/16,$0.64,,"$1,160",T,10.0,161.0,10.0,2018
1775,brighton independent,Thursday,"7,889",CMCA,12/31/17,$0.64,,"$1,160",T,10.0,161.0,10.0,2019
33,brighton independent northumberland news,Thursday,"39,735",CMCAC,03/31/12,$3.81,$670,"$2,320",T,10.0,175.0,10.0,2013
34,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.58,$335,"$1,160",T,10.0,175.0,10.0,2013
341,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,"$1,160","$1,160",T,10.0,161.0,10,2014
650,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,"$1,160","$1,160",T,10.0,161.0,10.0,2015
955,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2016
1251,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2017
1533,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2018
1776,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2019
342,brockville st. lawrence news,Thursday,"28,135",CMCAC,12/31/12,$0.97,"$1,160","$1,160",T,10.0,189.0,10,2014
