,index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
311,817,546.0,2015,43739.0,43739.0,0.0,0.0,dougall media,43740.0,1.75,184.0,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2015
312,818,546.0,2016,43740.0,43740.0,0.0,0.0,dougall media,43739.0,1.75,,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2016
313,819,546.0,2017,43717.0,43717.0,0.0,0.0,dougall media,43740.0,1.75,,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2017
314,820,546.0,2018,43438.0,43438.0,0.0,0.0,dougall media,43717.0,1.75,,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2018
315,821,546.0,2019,39903.0,39903.0,0.0,0.0,dougall media,43170.0,1.75,,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2019
316,848,561.0,2013,13368.0,13368.0,0.0,1.0,sun media corporation,13399.0,0.85,118.0,294.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2013
317,849,561.0,2014,14100.0,14100.0,0.0,1.0,sun media corporation,13368.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2014
318,850,561.0,2015,14638.0,14638.0,0.0,1.0,sun media corporation,14119.0,0.58,176.0,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2015
319,851,561.0,2016,15114.0,15114.0,0.0,1.0,sun media corporation,14638.0,0.58,,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2016
320,852,561.0,2017,15160.0,15160.0,0.0,1.0,postmedia network inc.,14992.0,0.58,,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2017
321,853,561.0,2018,14835.0,14835.0,0.0,1.0,postmedia network inc.,15160.0,0.58,,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2018
322,854,561.0,2019,,,0.0,1.0,postmedia network inc.,15160.0,0.58,,176.0,trenton trentonian,trenton trentonian,trentonian,['Quinte West'],2019
323,862,564.0,2013,5000.0,5000.0,0.0,0.0,lynda powless,5000.0,1.59,182.0,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2013
324,863,564.0,2014,,,0.0,0.0,lynda powless,5000.0,1.59,182.0,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2014
325,864,564.0,2015,,,0.0,0.0,lynda powless,15000.0,1.59,182.0,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2015
326,865,564.0,2016,,,0.0,0.0,lynda powless,15000.0,1.81,,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2016
327,866,564.0,2017,20000.0,20000.0,0.0,0.0,lynda powless,15000.0,1.81,,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2017
328,867,564.0,2018,5000.0,5000.0,0.0,0.0,turtle island news publications,15000.0,1.88,,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2018
329,868,564.0,2019,,,0.0,0.0,turtle island news publications,15000.0,1.88,,776.0,ohsweken turtle island news,ohsweken turtle island news,turtle island news,['Six Nations'],2019
330,869,566.0,2013,9015.0,9015.0,0.0,0.0,metroland media group ltd.,10086.0,1.56,335.0,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2013
331,870,566.0,2014,9507.0,9507.0,0.0,0.0,metroland media group ltd.,9027.0,1.7,1160.0,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2014
332,871,566.0,2015,8989.0,8989.0,0.0,0.0,metroland media group ltd.,9024.0,1.7,1160.0,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2015
333,872,566.0,2016,8958.0,8958.0,0.0,0.0,metroland media group ltd.,8999.0,1.7,,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2016
334,873,566.0,2017,,,0.0,0.0,metroland media group ltd.,8958.0,1.7,,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2017
335,874,566.0,2018,,,0.0,0.0,metroland media group ltd.,8855.0,1.7,,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2018
336,875,566.0,2019,8731.0,8731.0,0.0,0.0,metroland media group ltd.,8745.0,1.7,,1160.0,uxbridge timesjournal,uxbridge times journal,uxbridge timesjournal,['Uxbridge'],2019
337,876,568.0,2013,51540.0,51540.0,0.0,0.0,metroland media group ltd.,50813.0,3.13,335.0,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2013
338,877,568.0,2014,56533.0,56533.0,0.0,0.0,metroland media group ltd.,51864.0,3.41,1160.0,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2014
339,878,568.0,2015,56991.0,56991.0,0.0,0.0,metroland media group ltd.,56533.0,3.41,1160.0,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2015
340,879,568.0,2016,57814.0,57814.0,0.0,0.0,metroland media group ltd.,56971.0,3.41,,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2016
341,880,568.0,2017,,,0.0,0.0,metroland media group ltd.,57814.0,3.41,,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2017
342,881,568.0,2018,,,0.0,0.0,metroland media group ltd.,57814.0,3.41,,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2018
343,882,568.0,2019,58380.0,58380.0,0.0,0.0,metroland media group ltd.,58413.0,3.41,,1160.0,vaughan citizen,vaughan citizen,vaughan citizen,['Vaughan'],2019
344,883,574.0,2016,29538.0,29538.0,0.0,0.0,metroland media group ltd.,30278.0,1.67,,1160.0,waterloo chronicle,waterloo chronicle,waterloo chronicle,['Waterloo'],2016
345,884,574.0,2017,30611.0,30611.0,0.0,0.0,metroland media group ltd.,29538.0,1.67,,1160.0,waterloo chronicle,waterloo chronicle,waterloo chronicle,['Waterloo'],2017
346,885,574.0,2018,,,0.0,0.0,metroland media group ltd.,30611.0,1.67,,1160.0,waterloo chronicle,waterloo chronicle,waterloo chronicle,['Waterloo'],2018
347,886,574.0,2019,30117.0,30117.0,0.0,0.0,metroland media group ltd.,30611.0,1.67,,1160.0,waterloo chronicle,waterloo chronicle,waterloo chronicle,['Waterloo'],2019
