,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
151,"kingston ,ON, Canada",-76.481323,44.230687,3510010,Kingston,CY,35,ON,3510,Frontenac,CTY,3510010,Kingston,3515,Kingston--Pembroke,521,1,521.0,35521.0,Kingston,B,3510010.0,35.0,ON,10.0,Frontenac,10.0,Kingston,123798.0,123363.0,0.4,59977.0,53518.0,274.4,451.19,42.3,102125.0,14110.0,28455.0,59560.0,1430.0,28325.0,102125.0,98580.0,35034.0,120220.0,102740.0,15840.0
152,"kingsville ,ON, Canada",-82.7396606,42.0378963,3537013,Kingsville,T,35,ON,3537,Essex,CTY,3537013,Kingsville,3570,Windsor--Sarnia,557,3,557.0,35557.0,Leamington,D,3537013.0,35.0,ON,37.0,Essex,13.0,Kingsville,21552.0,21362.0,0.9,8359.0,7973.0,87.3,246.83,42.7,16675.0,3765.0,4800.0,8115.0,220.0,2425.0,16675.0,16180.0,36396.0,20320.0,17485.0,2755.0
153,"kitchener ,ON, Canada",-80.4927815,43.451291,3530013,Kitchener,CY,35,ON,3530,Waterloo,RM,3530013,Kitchener,3540,Kitchener--Waterloo--Barrie,541,1,541.0,35541.0,Kitchener - Cambridge - Waterloo,B,3530013.0,35.0,ON,30.0,Waterloo,13.0,Kitchener,233222.0,219153.0,6.4,95495.0,92217.0,1705.2,136.77,39.0,189215.0,35105.0,54900.0,99215.0,3145.0,42085.0,189215.0,181515.0,34520.0,230005.0,166040.0,60430.0
154,"port stanley ,ON, Canada",-81.2121712,42.6660437,3534020,Central Elgin,MU,35,ON,3534,Elgin,CTY,3534020,Central Elgin,3560,London,555,1,555.0,35555.0,London,B,3534020.0,35.0,ON,34.0,Elgin,20.0,Central Elgin,12607.0,12743.0,-1.1,5324.0,4922.0,45.0,280.33,43.6,10555.0,1755.0,2990.0,5815.0,210.0,1690.0,10555.0,10245.0,40433.0,12535.0,11405.0,1120.0
155,"lakefield ,ON, Canada",-78.2721953,44.4233365,3515015,Selwyn,TP,35,ON,3515,Peterborough,CTY,3515015,Selwyn,3520,Muskoka--Kawarthas,529,1,529.0,35529.0,Peterborough,B,3515015.0,35.0,ON,15.0,Peterborough,15.0,Selwyn,17060.0,16846.0,1.3,8404.0,6857.0,54.0,315.69,46.4,14530.0,2290.0,3845.0,8390.0,335.0,2830.0,14535.0,14080.0,36618.0,16905.0,15380.0,1525.0
156,"grand bend ,ON, Canada",-81.757507,43.312689,3538040,Lambton Shores,MU,35,ON,3538,Lambton,CTY,3538040,Lambton Shores,3570,Windsor--Sarnia,997,5,,,,,3538040.0,35.0,ON,38.0,Lambton,40.0,Lambton Shores,10631.0,10656.0,-0.2,7008.0,4783.0,32.1,331.2,49.1,9085.0,1770.0,2715.0,4600.0,130.0,1270.0,9075.0,8895.0,34159.0,10385.0,9400.0,980.0
157,"zurich ,ON, Canada",-81.624703,43.421133,3540010,Bluewater,MU,35,ON,3540,Huron,CTY,3540010,Bluewater,3580,Stratford--Bruce Peninsula,997,5,,,,,3540010.0,35.0,ON,40.0,Huron,10.0,Bluewater,7136.0,7044.0,1.3,4532.0,3027.0,17.1,417.0,45.8,5935.0,1190.0,1675.0,3070.0,150.0,830.0,5940.0,5850.0,36925.0,6920.0,6385.0,505.0
158,"belle river ,ON, Canada",-82.7113352,42.2928986,3537064,Lakeshore,T,35,ON,3537,Essex,CTY,3537064,Lakeshore,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537064.0,35.0,ON,37.0,Essex,64.0,Lakeshore,36611.0,34546.0,6.0,13900.0,13185.0,69.0,530.33,39.9,29380.0,4625.0,8910.0,15845.0,480.0,5850.0,29380.0,28065.0,42817.0,36365.0,32375.0,3900.0
159,"lambton-middlesex ,ON, Canada",-81.65954471,42.82117265,3539005,Southwest Middlesex,MU,35,ON,3539,Middlesex,CTY,3539005,Southwest Middlesex,3560,London,996,4,,,,,3539005.0,35.0,ON,39.0,Middlesex,5.0,Southwest Middlesex,5723.0,5860.0,-2.3,2505.0,2354.0,13.4,427.88,43.0,4675.0,1050.0,1345.0,2275.0,100.0,485.0,4670.0,4495.0,32483.0,5615.0,5220.0,375.0
160,"lasalle ,ON, Canada",-83.06409001,42.21807995,3537034,LaSalle,T,35,ON,3537,Essex,CTY,3537034,LaSalle,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537034.0,35.0,ON,37.0,Essex,34.0,LaSalle,30180.0,28643.0,5.4,10793.0,10689.0,461.8,65.35,40.3,24430.0,3370.0,6735.0,14330.0,515.0,6635.0,24395.0,23310.0,43452.0,29935.0,24750.0,5105.0
