,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2698,"tavistock ,ON, Canada",-80.8363123,43.32104,3532038,East Zorra-Tavistock,TP,35,Ontario,3532,Oxford,CTY,3532038,East Zorra-Tavistock,3560,London,996,4,,,,
2634,"parkhill ,ON, Canada",-81.6842168,43.1622799,3539041,North Middlesex,MU,35,Ontario,3539,Middlesex,CTY,3539041,North Middlesex,3560,London,996,4,,,,
2257,"glencoe ,ON, Canada",-81.711159,42.7481918,3539005,Southwest Middlesex,MU,35,Ontario,3539,Middlesex,CTY,3539005,Southwest Middlesex,3560,London,996,4,,,,
2502,"georgetown ,ON, Canada",-79.9036058,43.6502652,3524015,Halton Hills,T,35,Ontario,3524,Halton,RM,3524015,Halton Hills,3530,Toronto,535,1,535,35535,Toronto,B
2502,"acton ,ON, Canada",-80.0351117,43.6340679,3524015,Halton Hills,T,35,Ontario,3524,Halton,RM,3524015,Halton Hills,3530,Toronto,535,1,535,35535,Toronto,B
1827,"keswick ,ON, Canada",-79.4686558,44.2396166,3519070,Georgina,T,35,Ontario,3519,York,RM,3519070,Georgina,3530,Toronto,535,1,535,35535,Toronto,B
2503,"glanbrook ,ON, Canada",-80.11659666,43.2580421,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
2077,"alexandria ,ON, Canada",-74.6367573,45.3112037,3501050,North Glengarry,TP,35,Ontario,3501,"Stormont, Dundas and Glengarry",UC,3501050,North Glengarry,3510,Ottawa,997,5,,,,
2626,"goderich ,ON, Canada",-81.7110949,43.7430924,3540028,Goderich,T,35,Ontario,3540,Huron,CTY,3540025,Central Huron,3580,Stratford--Bruce Peninsula,998,6,,,,
2386,"penetanguishene ,ON, Canada",-79.9339487,44.7688035,3543072,Penetanguishene,T,35,Ontario,3543,Simcoe,CTY,3543071,Tay,3540,Kitchener--Waterloo--Barrie,571,3,571,35571,Midland,D
2541,"haldimand ,ON, Canada",-79.8362031,42.945542,3528018,Haldimand County,CY,35,Ontario,3528,Haldimand-Norfolk,CDR,3528018,Haldimand County,3550,Hamilton--Niagara Peninsula,996,4,,,,
1372,"gravenhurst ,ON, Canada",-79.373131,44.91741,3544002,Gravenhurst,T,35,Ontario,3544,Muskoka,DM,3544002,Gravenhurst,3520,Muskoka--Kawarthas,997,5,,,,
