AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner
belleville region the community press,45279.0,2.12,276.0,553.0,9.0,160.0,3.0,2013,2012,1,Thursday,27,22,45279.0,2.12,276.0,553.0,belleville quinte the community press,both,,,
belleville region the community press,45461.5,1.73,176.0,176.0,9.0,160.0,3,2014,2012,2,Thursday,27,22,45461.5,1.73,176.0,176.0,belleville quinte the community press,both,,,
belleville region the community press,45644.0,1.73,176.0,176.0,9.0,160.0,3.0,2015,2014,1,Thursday,27,22,45644.0,1.73,176.0,176.0,belleville quinte the community press,both,,,
belleville region the community press,,1.73,,176.0,9.0,160.0,3.0,2016,2014,2,Thursday,27,22,,1.73,,176.0,belleville quinte the community press,both,,,
belleville region the community press,,1.73,,176.0,9.0,160.0,3.0,2017,2015,2,Thursday,27,22,,1.73,,176.0,belleville quinte the community press,both,,,
belleville region the community press,,1.73,,176.0,10.0,160.0,10.0,2018,2015,3,Thursday,27,22,,1.73,,176.0,belleville quinte the community press,both,,,
belleville region the community press,,1.73,,176.0,10.0,160.0,10.0,2019,2015,4,Thursday,27,22,,1.73,,176.0,belleville quinte the community press,both,,,
blenheim news tribune,2271.0,0.52,94.0,153.0,6.0,224.0,5.0,2013,2012,1,Wednesday,28,23,2271.0,0.52,94.0,153.0,blenheim newstribune,both,,,
blenheim news tribune,2241.0,0.52,94.0,153.0,6.0,224.0,5,2014,2013,1,Wednesday,28,23,2241.0,0.52,94.0,153.0,blenheim newstribune,both,,,
blenheim news tribune,2176.5,0.52,94.0,153.0,6.0,224.0,5.0,2015,2013,2,Wednesday,28,23,2176.5,0.52,94.0,153.0,blenheim newstribune,both,,,
blenheim news tribune,2112.0,0.54,,176.0,6.0,224.0,5.0,2016,2015,1,Wednesday,28,23,2112.0,0.54,,176.0,blenheim newstribune,both,,,
blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2017,2015,2,Wednesday,28,23,,0.54,,176.0,blenheim newstribune,both,,,
blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2018,2015,3,Wednesday,28,23,,0.54,,176.0,blenheim newstribune,both,,,
blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2019,2015,4,Wednesday,28,23,,0.54,,176.0,blenheim newstribune,both,,,
blyth brussels citizen,1844.0,0.39,71.0,235.0,9.0,210.0,3.0,2013,2012,1,Thursday,29,24,1844.0,0.39,71.0,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1820.0,0.4,71.0,235.0,9.0,210.0,3,2014,2013,1,Thursday,29,24,1820.0,0.4,71.0,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1798.0,0.41,71.0,235.0,9.0,210.0,3.0,2015,2014,1,Thursday,29,24,1798.0,0.41,71.0,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1762.0,0.42,,235.0,9.0,210.0,3.0,2016,2015,1,Thursday,29,24,1762.0,0.42,,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1756.0,0.44,,235.0,9.0,210.0,3.0,2017,2016,1,Thursday,29,24,1756.0,0.44,,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1775.0,0.79,,235.0,5.0,210.0,4.0,2018,2017,1,Thursday,29,24,1775.0,0.79,,235.0,blyth brussels citizen,both,,,
blyth brussels citizen,1846.0,0.82,,235.0,5.0,210.0,4.0,2019,2018,1,Thursday,29,24,1846.0,0.82,,235.0,blyth brussels citizen,both,,,
bracebridge examiner,,2.21,1160.0,1160.0,10.0,161.0,10,2014,0,2014,Thursday,30,25,,2.21,1160.0,1160.0,bracebridge examiner,both,,,
bracebridge examiner,8974.0,2.21,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,30,25,8974.0,2.21,1160.0,1160.0,bracebridge examiner,both,,,
bracebridge examiner,8609.0,2.21,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,30,25,8609.0,2.21,,1160.0,bracebridge examiner,both,,,
bracebridge examiner,8289.5,2.21,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,30,25,8289.5,2.21,,1160.0,bracebridge examiner,both,,,
bracebridge examiner,7970.0,2.21,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,30,25,7970.0,2.21,,1160.0,bracebridge examiner,both,,,
bracebridge examiner,,2.21,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,30,25,,2.21,,1160.0,bracebridge examiner,both,,,
bracebridge examiner,2708.0,1.32,335.0,1160.0,10.0,301.0,10.0,2013,2012,1,Wednesday,31,25,2708.0,1.32,335.0,1160.0,bracebridge examiner,both,,,
